Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
C7000-1;Minimum CPU Load (%);16/12/2021 3:53;12;;C7000-1;Peak CPU Load (%);16/12/2021 3:53;14;;C7000-1;Average CPU Load (%);16/12/2021 3:53;12
C7000-1;Minimum CPU Load (%);17/12/2021 4:53;12;;C7000-1;Peak CPU Load (%);17/12/2021 4:53;14;;C7000-1;Average CPU Load (%);17/12/2021 4:53;12
C7000-1;Minimum CPU Load (%);18/12/2021 5:53;12;;C7000-1;Peak CPU Load (%);18/12/2021 5:53;14;;C7000-1;Average CPU Load (%);18/12/2021 5:53;12
C7000-1;Minimum CPU Load (%);19/12/2021 0:38;12;;C7000-1;Peak CPU Load (%);19/12/2021 0:38;14;;C7000-1;Average CPU Load (%);19/12/2021 0:38;12
C7000-1;Minimum CPU Load (%);20/12/2021 1:38;12;;C7000-1;Peak CPU Load (%);20/12/2021 1:38;15;;C7000-1;Average CPU Load (%);20/12/2021 1:38;12
C7000-1;Minimum CPU Load (%);21/12/2021 2:38;12;;C7000-1;Peak CPU Load (%);21/12/2021 2:38;14;;C7000-1;Average CPU Load (%);21/12/2021 2:38;12
C7000-1;Minimum CPU Load (%);22/12/2021 3:38;12;;C7000-1;Peak CPU Load (%);22/12/2021 3:38;14;;C7000-1;Average CPU Load (%);22/12/2021 3:38;12
C7000-1;Minimum CPU Load (%);23/12/2021 4:38;12;;C7000-1;Peak CPU Load (%);23/12/2021 4:38;14;;C7000-1;Average CPU Load (%);23/12/2021 4:38;12
C7000-1;Minimum CPU Load (%);24/12/2021 5:38;12;;C7000-1;Peak CPU Load (%);24/12/2021 5:38;14;;C7000-1;Average CPU Load (%);24/12/2021 5:38;12
C7000-1;Minimum CPU Load (%);25/12/2021 0:23;12;;C7000-1;Peak CPU Load (%);25/12/2021 0:23;14;;C7000-1;Average CPU Load (%);25/12/2021 0:23;12
C7000-1;Minimum CPU Load (%);26/12/2021 1:23;12;;C7000-1;Peak CPU Load (%);26/12/2021 1:23;14;;C7000-1;Average CPU Load (%);26/12/2021 1:23;12
C7000-1;Minimum CPU Load (%);27/12/2021 2:23;12;;C7000-1;Peak CPU Load (%);27/12/2021 2:23;14;;C7000-1;Average CPU Load (%);27/12/2021 2:23;12
C7000-1;Minimum CPU Load (%);28/12/2021 3:23;12;;C7000-1;Peak CPU Load (%);28/12/2021 3:23;14;;C7000-1;Average CPU Load (%);28/12/2021 3:23;12
C7000-1;Minimum CPU Load (%);29/12/2021 4:23;12;;C7000-1;Peak CPU Load (%);29/12/2021 4:23;14;;C7000-1;Average CPU Load (%);29/12/2021 4:23;12
