Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);16/12/2021 0:25;7;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);16/12/2021 0:25;24;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);16/12/2021 0:25;11
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);17/12/2021 1:25;7;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);17/12/2021 1:25;23;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);17/12/2021 1:25;12
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);18/12/2021 2:25;7;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);18/12/2021 2:25;21;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);18/12/2021 2:25;11
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);19/12/2021 3:25;8;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);19/12/2021 3:25;20;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);19/12/2021 3:25;11
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);20/12/2021 4:25;8;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);20/12/2021 4:25;24;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);20/12/2021 4:25;11
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);21/12/2021 5:25;8;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);21/12/2021 5:25;26;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);21/12/2021 5:25;12
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);22/12/2021 0:10;8;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);22/12/2021 0:10;24;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);22/12/2021 0:10;13
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);23/12/2021 1:10;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);23/12/2021 1:10;24;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);23/12/2021 1:10;13
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);24/12/2021 2:10;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);24/12/2021 2:10;25;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);24/12/2021 2:10;14
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);25/12/2021 3:10;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);25/12/2021 3:10;29;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);25/12/2021 3:10;14
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);26/12/2021 4:10;8;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);26/12/2021 4:10;30;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);26/12/2021 4:10;15
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);27/12/2021 5:10;10;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);27/12/2021 5:10;29;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);27/12/2021 5:10;14
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);28/12/2021 6:10;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);28/12/2021 6:10;28;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);28/12/2021 6:10;15
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);29/12/2021 0:55;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);29/12/2021 0:55;25;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);29/12/2021 0:55;13
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);30/12/2021 1:55;10;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);30/12/2021 1:55;23;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);30/12/2021 1:55;14
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);31/12/2021 2:55;9;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);31/12/2021 2:55;26;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);31/12/2021 2:55;15
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);1/01/2022 3:55;11;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);1/01/2022 3:55;27;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);1/01/2022 3:55;16
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);2/01/2022 4:55;12;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);2/01/2022 4:55;28;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);2/01/2022 4:55;17
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);3/01/2022 5:55;12;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);3/01/2022 5:55;29;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);3/01/2022 5:55;17
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);4/01/2022 0:40;11;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);4/01/2022 0:40;27;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);4/01/2022 0:40;17
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);5/01/2022 1:40;12;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);5/01/2022 1:40;27;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);5/01/2022 1:40;16
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);6/01/2022 2:40;12;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);6/01/2022 2:40;29;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);6/01/2022 2:40;17
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);7/01/2022 3:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);7/01/2022 3:40;27;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);7/01/2022 3:40;9
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);8/01/2022 4:40;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);8/01/2022 4:40;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);8/01/2022 4:40;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);9/01/2022 5:40;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);9/01/2022 5:40;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);9/01/2022 5:40;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);10/01/2022 0:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);10/01/2022 0:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);10/01/2022 0:25;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);11/01/2022 1:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);11/01/2022 1:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);11/01/2022 1:25;2
