"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19831-Orion.CPULoad.MinLoad,0_Orion.Nodes_19831-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19831-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:01:00.000Z&endTime=2022-02-15T21:01:00.000Z"")"
Start,2021-12-15 04:01:00,End,2022-02-15 16:01:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-16 05:01:00,4,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-16 05:01:00,13,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-16 05:01:00,4,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-17 06:01:00,4,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-17 06:01:00,10,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-17 06:01:00,5,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-18 00:46:00,4,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-18 00:46:00,10,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-18 00:46:00,5,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-19 01:46:00,4,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-19 01:46:00,10,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-19 01:46:00,5,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-20 02:46:00,4,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-20 02:46:00,12,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-20 02:46:00,6,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-21 03:46:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-21 03:46:00,11,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-21 03:46:00,6,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-22 04:46:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-22 04:46:00,14,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-22 04:46:00,6,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-23 05:46:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-23 05:46:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-23 05:46:00,7,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-24 00:31:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-24 00:31:00,13,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-24 00:31:00,7,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-25 01:31:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-25 01:31:00,12,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-25 01:31:00,7,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-26 02:31:00,5,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-26 02:31:00,13,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-26 02:31:00,8,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-27 03:31:00,6,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-27 03:31:00,13,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-27 03:31:00,8,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-28 04:31:00,7,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-28 04:31:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-28 04:31:00,9,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-29 05:31:00,7,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-29 05:31:00,14,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-29 05:31:00,9,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-30 00:16:00,7,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-30 00:16:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-30 00:16:00,9,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-31 01:16:00,6,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2021-12-31 01:16:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2021-12-31 01:16:00,9,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-01 02:16:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-01 02:16:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-01 02:16:00,10,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-02 03:16:00,7,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-02 03:16:00,15,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-02 03:16:00,10,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-03 04:16:00,9,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-03 04:16:00,16,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-03 04:16:00,11,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-04 05:16:00,9,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-04 05:16:00,17,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-04 05:16:00,11,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-05 00:01:00,9,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-05 00:01:00,17,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-05 00:01:00,11,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-06 01:01:00,9,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-06 01:01:00,18,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-06 01:01:00,11,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-07 02:01:00,9,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-07 02:01:00,18,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-07 02:01:00,12,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-08 03:01:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-08 03:01:00,19,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-08 03:01:00,12,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-09 04:01:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-09 04:01:00,21,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-09 04:01:00,12,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-10 05:01:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-10 05:01:00,22,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-10 05:01:00,12,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-11 06:01:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-11 06:01:00,24,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-11 06:01:00,12,,
"HDREG-PMSG02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-12 00:46:00,8,,"HDREG-PMSG02.registraduria.gov.co","Peak CPU Load (%)",2022-01-12 00:46:00,29,,"HDREG-PMSG02.registraduria.gov.co","Average CPU Load (%)",2022-01-12 00:46:00,13,,
