"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_18955-Orion.CPULoad.MinLoad,0_Orion.Nodes_18955-Orion.CPULoad.MaxLoad,0_Orion.Nodes_18955-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T07:58:00.000Z&endTime=2022-02-15T19:58:00.000Z"")"
Start,2021-12-15 02:58:00,End,2022-02-15 14:58:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-16 03:58:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-16 03:58:00,37,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-16 03:58:00,15,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-17 04:58:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-17 04:58:00,57,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-17 04:58:00,17,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-18 05:58:00,7,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-18 05:58:00,36,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-18 05:58:00,19,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-19 00:43:00,7,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-19 00:43:00,33,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-19 00:43:00,14,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-20 01:43:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-20 01:43:00,25,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-20 01:43:00,11,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-21 02:43:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-21 02:43:00,45,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-21 02:43:00,14,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-22 03:43:00,1,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-22 03:43:00,59,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-22 03:43:00,14,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-23 04:43:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-23 04:43:00,60,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-23 04:43:00,9,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-24 05:43:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-24 05:43:00,24,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-24 05:43:00,5,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-25 00:28:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-25 00:28:00,17,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-25 00:28:00,5,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-26 01:28:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-26 01:28:00,20,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-26 01:28:00,5,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-27 02:28:00,0,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-27 02:28:00,46,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-27 02:28:00,14,,
"RNEC-ANI-SRCW-01","Minimum CPU Load (%)",2021-12-28 03:28:00,1,,"RNEC-ANI-SRCW-01","Peak CPU Load (%)",2021-12-28 03:28:00,55,,"RNEC-ANI-SRCW-01","Average CPU Load (%)",2021-12-28 03:28:00,18,,
