"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12907-Orion.CPULoad.MinLoad,0_Orion.Nodes_12907-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12907-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:07:00.000Z&endTime=2022-02-15T21:07:00.000Z"")"
Start,2021-12-15 04:07:00,End,2022-02-15 16:07:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-16 05:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-16 05:07:00,85,,"RNEC-CA-01","Average CPU Load (%)",2021-12-16 05:07:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-17 06:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-17 06:07:00,100,,"RNEC-CA-01","Average CPU Load (%)",2021-12-17 06:07:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-18 00:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-18 00:52:00,82,,"RNEC-CA-01","Average CPU Load (%)",2021-12-18 00:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-19 01:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-19 01:52:00,79,,"RNEC-CA-01","Average CPU Load (%)",2021-12-19 01:52:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-20 02:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-20 02:52:00,85,,"RNEC-CA-01","Average CPU Load (%)",2021-12-20 02:52:00,3,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-21 03:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-21 03:52:00,88,,"RNEC-CA-01","Average CPU Load (%)",2021-12-21 03:52:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-22 04:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-22 04:52:00,82,,"RNEC-CA-01","Average CPU Load (%)",2021-12-22 04:52:00,3,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-23 05:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-23 05:52:00,85,,"RNEC-CA-01","Average CPU Load (%)",2021-12-23 05:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-24 00:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-24 00:37:00,88,,"RNEC-CA-01","Average CPU Load (%)",2021-12-24 00:37:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-25 01:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-25 01:37:00,86,,"RNEC-CA-01","Average CPU Load (%)",2021-12-25 01:37:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-26 02:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-26 02:37:00,67,,"RNEC-CA-01","Average CPU Load (%)",2021-12-26 02:37:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-27 03:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-27 03:37:00,100,,"RNEC-CA-01","Average CPU Load (%)",2021-12-27 03:37:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-28 04:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-28 04:37:00,100,,"RNEC-CA-01","Average CPU Load (%)",2021-12-28 04:37:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-29 05:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-29 05:37:00,73,,"RNEC-CA-01","Average CPU Load (%)",2021-12-29 05:37:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-30 00:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-30 00:22:00,100,,"RNEC-CA-01","Average CPU Load (%)",2021-12-30 00:22:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2021-12-31 01:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2021-12-31 01:22:00,64,,"RNEC-CA-01","Average CPU Load (%)",2021-12-31 01:22:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-01 02:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-01 02:22:00,73,,"RNEC-CA-01","Average CPU Load (%)",2022-01-01 02:22:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-02 03:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-02 03:22:00,100,,"RNEC-CA-01","Average CPU Load (%)",2022-01-02 03:22:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-03 04:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-03 04:22:00,85,,"RNEC-CA-01","Average CPU Load (%)",2022-01-03 04:22:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-04 05:22:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-04 05:22:00,98,,"RNEC-CA-01","Average CPU Load (%)",2022-01-04 05:22:00,6,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-05 00:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-05 00:07:00,49,,"RNEC-CA-01","Average CPU Load (%)",2022-01-05 00:07:00,3,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-06 01:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-06 01:07:00,85,,"RNEC-CA-01","Average CPU Load (%)",2022-01-06 01:07:00,6,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-07 02:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-07 02:07:00,82,,"RNEC-CA-01","Average CPU Load (%)",2022-01-07 02:07:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-08 03:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-08 03:07:00,88,,"RNEC-CA-01","Average CPU Load (%)",2022-01-08 03:07:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-09 04:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-09 04:07:00,82,,"RNEC-CA-01","Average CPU Load (%)",2022-01-09 04:07:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-10 05:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-10 05:07:00,85,,"RNEC-CA-01","Average CPU Load (%)",2022-01-10 05:07:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-11 06:07:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-11 06:07:00,79,,"RNEC-CA-01","Average CPU Load (%)",2022-01-11 06:07:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-12 00:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-12 00:52:00,82,,"RNEC-CA-01","Average CPU Load (%)",2022-01-12 00:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-13 01:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-13 01:52:00,100,,"RNEC-CA-01","Average CPU Load (%)",2022-01-13 01:52:00,8,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-14 02:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-14 02:52:00,94,,"RNEC-CA-01","Average CPU Load (%)",2022-01-14 02:52:00,5,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-15 03:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-15 03:52:00,85,,"RNEC-CA-01","Average CPU Load (%)",2022-01-15 03:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-16 04:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-16 04:52:00,82,,"RNEC-CA-01","Average CPU Load (%)",2022-01-16 04:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-17 05:52:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-17 05:52:00,76,,"RNEC-CA-01","Average CPU Load (%)",2022-01-17 05:52:00,4,,
"RNEC-CA-01","Minimum CPU Load (%)",2022-01-18 00:37:00,0,,"RNEC-CA-01","Peak CPU Load (%)",2022-01-18 00:37:00,9,,"RNEC-CA-01","Average CPU Load (%)",2022-01-18 00:37:00,4,,
