"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_8949-Orion.CPULoad.MinLoad,0_Orion.Nodes_8949-Orion.CPULoad.MaxLoad,0_Orion.Nodes_8949-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:13:00.000Z&endTime=2022-02-15T22:13:00.000Z"")"
Start,2021-12-15 05:13:00,End,2022-02-15 17:13:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-16 06:13:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-16 06:13:00,23,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-16 06:13:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-17 00:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-17 00:58:00,19,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-17 00:58:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-18 01:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-18 01:58:00,1,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-18 01:58:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-19 02:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-19 02:58:00,1,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-19 02:58:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-20 03:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-20 03:58:00,22,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-20 03:58:00,2,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-21 04:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-21 04:58:00,4,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-21 04:58:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-22 05:58:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-22 05:58:00,2,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-22 05:58:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-23 00:43:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-23 00:43:00,14,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-23 00:43:00,0,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-24 01:43:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-24 01:43:00,25,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-24 01:43:00,1,,
"RNEC-CMSWWW3-01","Minimum CPU Load (%)",2021-12-25 02:43:00,0,,"RNEC-CMSWWW3-01","Peak CPU Load (%)",2021-12-25 02:43:00,1,,"RNEC-CMSWWW3-01","Average CPU Load (%)",2021-12-25 02:43:00,0,,
