"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12872-Orion.CPULoad.MinLoad,0_Orion.Nodes_12872-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12872-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T07:54:00.000Z&endTime=2022-02-15T19:54:00.000Z"")"
Start,2021-12-15 02:54:00,End,2022-02-15 14:54:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-16 03:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-16 03:54:00,86,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-16 03:54:00,3,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-17 04:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-17 04:54:00,32,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-17 04:54:00,8,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-18 05:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-18 05:54:00,16,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-18 05:54:00,2,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-19 00:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-19 00:39:00,28,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-19 00:39:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-20 01:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-20 01:39:00,21,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-20 01:39:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-21 02:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-21 02:39:00,23,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-21 02:39:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-22 03:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-22 03:39:00,20,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-22 03:39:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-23 04:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-23 04:39:00,37,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-23 04:39:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-24 05:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-24 05:39:00,12,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-24 05:39:00,0,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-25 00:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-25 00:24:00,20,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-25 00:24:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-26 01:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-26 01:24:00,23,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-26 01:24:00,2,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-27 02:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-27 02:24:00,21,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-27 02:24:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-28 03:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-28 03:24:00,32,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-28 03:24:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-29 04:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-29 04:24:00,18,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-29 04:24:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-30 05:24:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-30 05:24:00,21,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-30 05:24:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2021-12-31 00:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2021-12-31 00:09:00,21,,"RNEC-CSRAPP-00","Average CPU Load (%)",2021-12-31 00:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-01 01:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-01 01:09:00,25,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-01 01:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-02 02:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-02 02:09:00,19,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-02 02:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-03 03:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-03 03:09:00,22,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-03 03:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-04 04:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-04 04:09:00,23,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-04 04:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-05 05:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-05 05:09:00,15,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-05 05:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-06 06:09:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-06 06:09:00,24,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-06 06:09:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-07 00:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-07 00:54:00,21,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-07 00:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-08 01:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-08 01:54:00,20,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-08 01:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-09 02:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-09 02:54:00,26,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-09 02:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-10 03:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-10 03:54:00,20,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-10 03:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-11 04:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-11 04:54:00,22,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-11 04:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-12 05:54:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-12 05:54:00,30,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-12 05:54:00,1,,
"RNEC-CSRAPP-00","Minimum CPU Load (%)",2022-01-13 00:39:00,0,,"RNEC-CSRAPP-00","Peak CPU Load (%)",2022-01-13 00:39:00,20,,"RNEC-CSRAPP-00","Average CPU Load (%)",2022-01-13 00:39:00,1,,
