"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12793-Orion.CPULoad.MinLoad,0_Orion.Nodes_12793-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12793-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:26:00.000Z&endTime=2022-02-15T21:26:00.000Z"")"
Start,2021-12-15 04:26:00,End,2022-02-15 16:26:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-16 05:26:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-16 05:26:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-16 05:26:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-17 00:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-17 00:11:00,9,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-17 00:11:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-18 01:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-18 01:11:00,6,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-18 01:11:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-19 02:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-19 02:11:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-19 02:11:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-20 03:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-20 03:11:00,6,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-20 03:11:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-21 04:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-21 04:11:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-21 04:11:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-22 05:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-22 05:11:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-22 05:11:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-23 06:11:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-23 06:11:00,6,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-23 06:11:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-24 00:56:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-24 00:56:00,9,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-24 00:56:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-25 01:56:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-25 01:56:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-25 01:56:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-26 02:56:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-26 02:56:00,6,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-26 02:56:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-27 03:56:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-27 03:56:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-27 03:56:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-28 04:56:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-28 04:56:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-28 04:56:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-29 05:56:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-29 05:56:00,4,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-29 05:56:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-30 00:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-30 00:41:00,4,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-30 00:41:00,0,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2021-12-31 01:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2021-12-31 01:41:00,7,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2021-12-31 01:41:00,0,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-01 02:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-01 02:41:00,7,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-01 02:41:00,0,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-02 03:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-02 03:41:00,3,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-02 03:41:00,0,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-03 04:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-03 04:41:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-03 04:41:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-04 05:41:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-04 05:41:00,9,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-04 05:41:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-05 00:26:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-05 00:26:00,5,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-05 00:26:00,0,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-06 01:26:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-06 01:26:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-06 01:26:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-07 02:26:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-07 02:26:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-07 02:26:00,1,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-08 03:26:00,1,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-08 03:26:00,9,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-08 03:26:00,2,,
"RNEC-DC-02.registraduria.gov.co","Minimum CPU Load (%)",2022-01-09 04:26:00,0,,"RNEC-DC-02.registraduria.gov.co","Peak CPU Load (%)",2022-01-09 04:26:00,8,,"RNEC-DC-02.registraduria.gov.co","Average CPU Load (%)",2022-01-09 04:26:00,1,,
