"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12935-Orion.CPULoad.MinLoad,0_Orion.Nodes_12935-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12935-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:58:00.000Z&endTime=2022-02-15T21:58:00.000Z"")"
Start,2021-12-15 04:58:00,End,2022-02-15 16:58:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-16 05:58:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-16 05:58:00,36,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-16 05:58:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-17 00:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-17 00:43:00,34,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-17 00:43:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-18 01:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-18 01:43:00,36,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-18 01:43:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-19 02:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-19 02:43:00,37,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-19 02:43:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-20 03:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-20 03:43:00,34,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-20 03:43:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-21 04:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-21 04:43:00,36,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-21 04:43:00,27,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-22 05:43:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-22 05:43:00,34,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-22 05:43:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-23 00:28:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-23 00:28:00,37,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-23 00:28:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-24 01:28:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-24 01:28:00,36,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-24 01:28:00,26,,
"RNEC-DNSMORFOT","Minimum CPU Load (%)",2021-12-25 02:28:00,24,,"RNEC-DNSMORFOT","Peak CPU Load (%)",2021-12-25 02:28:00,48,,"RNEC-DNSMORFOT","Average CPU Load (%)",2021-12-25 02:28:00,26,,
