"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_13271-Orion.CPULoad.MinLoad,0_Orion.Nodes_13271-Orion.CPULoad.MaxLoad,0_Orion.Nodes_13271-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:09:00.000Z&endTime=2022-02-15T21:09:00.000Z"")"
Start,2021-12-15 04:09:00,End,2022-02-15 16:09:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-16 05:09:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-16 05:09:00,19,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-16 05:09:00,8,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-17 06:09:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-17 06:09:00,18,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-17 06:09:00,7,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-18 00:54:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-18 00:54:00,18,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-18 00:54:00,6,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-19 01:54:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-19 01:54:00,14,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-19 01:54:00,6,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-20 02:54:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-20 02:54:00,20,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-20 02:54:00,8,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-21 03:54:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-21 03:54:00,20,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-21 03:54:00,8,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-22 04:54:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-22 04:54:00,19,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-22 04:54:00,7,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-23 05:54:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-23 05:54:00,20,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-23 05:54:00,7,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-24 00:39:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-24 00:39:00,14,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-24 00:39:00,5,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-25 01:39:00,2,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-25 01:39:00,13,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-25 01:39:00,5,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-26 02:39:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-26 02:39:00,11,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-26 02:39:00,5,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-27 03:39:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-27 03:39:00,24,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-27 03:39:00,8,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-28 04:39:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-28 04:39:00,19,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-28 04:39:00,7,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-29 05:39:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-29 05:39:00,22,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-29 05:39:00,7,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-30 00:24:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-30 00:24:00,14,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-30 00:24:00,6,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2021-12-31 01:24:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2021-12-31 01:24:00,13,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2021-12-31 01:24:00,5,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-01 02:24:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-01 02:24:00,18,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-01 02:24:00,8,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-02 03:24:00,7,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-02 03:24:00,17,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-02 03:24:00,10,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-03 04:24:00,8,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-03 04:24:00,26,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-03 04:24:00,12,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-04 05:24:00,7,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-04 05:24:00,28,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-04 05:24:00,15,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-05 00:09:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-05 00:09:00,30,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-05 00:09:00,14,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-06 01:09:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-06 01:09:00,25,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-06 01:09:00,9,,
"rnec-esx-03.registraduria.gov.co","Minimum CPU Load (%)",2022-01-07 02:09:00,3,,"rnec-esx-03.registraduria.gov.co","Peak CPU Load (%)",2022-01-07 02:09:00,22,,"rnec-esx-03.registraduria.gov.co","Average CPU Load (%)",2022-01-07 02:09:00,7,,
