"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12920-Orion.CPULoad.MinLoad,0_Orion.Nodes_12920-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12920-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:05:00.000Z&endTime=2022-02-15T22:05:00.000Z"")"
Start,2021-12-15 05:05:00,End,2022-02-15 17:05:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-16 06:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-16 06:05:00,62,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-16 06:05:00,5,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-17 00:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-17 00:50:00,56,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-17 00:50:00,4,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-18 01:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-18 01:50:00,29,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-18 01:50:00,2,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-19 02:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-19 02:50:00,13,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-19 02:50:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-20 03:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-20 03:50:00,40,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-20 03:50:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-21 04:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-21 04:50:00,21,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-21 04:50:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-22 05:50:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-22 05:50:00,33,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-22 05:50:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-23 00:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-23 00:35:00,15,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-23 00:35:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-24 01:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-24 01:35:00,20,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-24 01:35:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-25 02:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-25 02:35:00,9,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-25 02:35:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-26 03:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-26 03:35:00,39,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-26 03:35:00,2,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-27 04:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-27 04:35:00,35,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-27 04:35:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-28 05:35:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-28 05:35:00,54,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-28 05:35:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-29 00:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-29 00:20:00,19,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-29 00:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-30 01:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-30 01:20:00,39,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-30 01:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2021-12-31 02:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2021-12-31 02:20:00,11,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2021-12-31 02:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-01 03:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-01 03:20:00,43,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-01 03:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-02 04:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-02 04:20:00,42,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-02 04:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-03 05:20:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-03 05:20:00,48,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-03 05:20:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-04 00:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-04 00:05:00,44,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-04 00:05:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-05 01:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-05 01:05:00,33,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-05 01:05:00,1,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-06 02:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-06 02:05:00,38,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-06 02:05:00,2,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-07 03:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-07 03:05:00,41,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-07 03:05:00,2,,
"RNEC-FHEDMZ-00","Minimum CPU Load (%)",2022-01-08 04:05:00,0,,"RNEC-FHEDMZ-00","Peak CPU Load (%)",2022-01-08 04:05:00,33,,"RNEC-FHEDMZ-00","Average CPU Load (%)",2022-01-08 04:05:00,1,,
