"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_18147-Orion.CPULoad.MinLoad,0_Orion.Nodes_18147-Orion.CPULoad.MaxLoad,0_Orion.Nodes_18147-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:50:00.000Z&endTime=2022-02-15T21:50:00.000Z"")"
Start,2021-12-15 04:50:00,End,2022-02-15 16:50:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-16 05:50:00,0,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-16 05:50:00,16,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-16 05:50:00,0,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-17 00:35:00,2,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-17 00:35:00,33,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-17 00:35:00,3,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-18 01:35:00,2,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-18 01:35:00,7,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-18 01:35:00,3,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-19 02:35:00,2,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-19 02:35:00,22,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-19 02:35:00,3,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-20 03:35:00,2,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-20 03:35:00,23,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-20 03:35:00,3,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-21 04:35:00,2,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-21 04:35:00,28,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-21 04:35:00,4,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-22 05:35:00,1,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-22 05:35:00,16,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-22 05:35:00,4,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-23 00:20:00,0,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-23 00:20:00,24,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-23 00:20:00,1,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-24 01:20:00,0,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-24 01:20:00,25,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-24 01:20:00,1,,
"RNEC-ITA-01","Minimum CPU Load (%)",2021-12-25 02:20:00,0,,"RNEC-ITA-01","Peak CPU Load (%)",2021-12-25 02:20:00,13,,"RNEC-ITA-01","Average CPU Load (%)",2021-12-25 02:20:00,1,,
