"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12853-Orion.CPULoad.MinLoad,0_Orion.Nodes_12853-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12853-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:34:00.000Z&endTime=2022-02-15T21:34:00.000Z"")"
Start,2021-12-15 04:34:00,End,2022-02-15 16:34:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-16 05:34:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-16 05:34:00,76,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-16 05:34:00,5,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-17 00:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-17 00:19:00,82,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-17 00:19:00,8,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-18 01:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-18 01:19:00,97,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-18 01:19:00,5,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-19 02:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-19 02:19:00,22,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-19 02:19:00,3,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-20 03:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-20 03:19:00,82,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-20 03:19:00,6,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-21 04:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-21 04:19:00,79,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-21 04:19:00,7,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-22 05:19:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-22 05:19:00,69,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-22 05:19:00,7,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-23 00:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-23 00:04:00,100,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-23 00:04:00,7,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-24 01:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-24 01:04:00,64,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-24 01:04:00,6,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-25 02:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-25 02:04:00,70,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-25 02:04:00,5,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-26 03:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-26 03:04:00,82,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-26 03:04:00,5,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-27 04:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-27 04:04:00,94,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-27 04:04:00,20,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-28 05:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-28 05:04:00,100,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-28 05:04:00,8,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-29 06:04:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-29 06:04:00,79,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-29 06:04:00,10,,
"RNEC-KMS-00","Minimum CPU Load (%)",2021-12-30 00:49:00,0,,"RNEC-KMS-00","Peak CPU Load (%)",2021-12-30 00:49:00,100,,"RNEC-KMS-00","Average CPU Load (%)",2021-12-30 00:49:00,22,,
