"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_2841-Orion.CPULoad.MinLoad,0_Orion.Nodes_2841-Orion.CPULoad.MaxLoad,0_Orion.Nodes_2841-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:57:00.000Z&endTime=2022-02-15T20:57:00.000Z"")"
Start,2021-12-15 03:57:00,End,2022-02-15 15:57:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-16 04:57:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-16 04:57:00,75,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-16 04:57:00,26,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-17 05:57:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-17 05:57:00,64,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-17 05:57:00,24,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-18 00:42:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-18 00:42:00,12,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-18 00:42:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-19 01:42:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-19 01:42:00,15,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-19 01:42:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-20 02:42:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-20 02:42:00,71,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-20 02:42:00,26,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-21 03:42:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-21 03:42:00,65,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-21 03:42:00,26,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-22 04:42:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-22 04:42:00,70,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-22 04:42:00,28,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-23 05:42:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-23 05:42:00,61,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-23 05:42:00,23,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-24 00:27:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-24 00:27:00,59,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-24 00:27:00,15,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-25 01:27:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-25 01:27:00,11,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-25 01:27:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-26 02:27:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-26 02:27:00,11,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-26 02:27:00,7,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-27 03:27:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-27 03:27:00,66,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-27 03:27:00,23,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-28 04:27:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-28 04:27:00,58,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-28 04:27:00,23,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-29 05:27:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-29 05:27:00,58,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-29 05:27:00,22,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-30 00:12:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-30 00:12:00,57,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-30 00:12:00,19,,
"RNEC-LEM-00","Minimum CPU Load (%)",2021-12-31 01:12:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2021-12-31 01:12:00,10,,"RNEC-LEM-00","Average CPU Load (%)",2021-12-31 01:12:00,6,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-01 02:12:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-01 02:12:00,9,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-01 02:12:00,6,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-02 03:12:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-02 03:12:00,12,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-02 03:12:00,6,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-03 04:12:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-03 04:12:00,62,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-03 04:12:00,20,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-04 05:12:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-04 05:12:00,62,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-04 05:12:00,24,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-05 06:12:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-05 06:12:00,61,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-05 06:12:00,25,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-06 00:57:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-06 00:57:00,61,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-06 00:57:00,23,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-07 01:57:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-07 01:57:00,56,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-07 01:57:00,22,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-08 02:57:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-08 02:57:00,32,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-08 02:57:00,13,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-09 03:57:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-09 03:57:00,28,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-09 03:57:00,12,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-10 04:57:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-10 04:57:00,26,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-10 04:57:00,12,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-11 05:57:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-11 05:57:00,68,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-11 05:57:00,27,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-12 00:42:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-12 00:42:00,73,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-12 00:42:00,27,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-13 01:42:00,8,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-13 01:42:00,67,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-13 01:42:00,27,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-14 02:42:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-14 02:42:00,67,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-14 02:42:00,24,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-15 03:42:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-15 03:42:00,16,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-15 03:42:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-16 04:42:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-16 04:42:00,9,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-16 04:42:00,7,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-17 05:42:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-17 05:42:00,74,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-17 05:42:00,26,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-18 00:27:00,6,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-18 00:27:00,9,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-18 00:27:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-18 06:42:00,7,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-18 06:42:00,9,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-18 06:42:00,8,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-18 12:57:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-18 12:57:00,72,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-18 12:57:00,47,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-18 19:12:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-18 19:12:00,73,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-18 19:12:00,38.714285714285715,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-19 01:27:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-19 01:27:00,12,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-19 01:27:00,9.5,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-19 07:42:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-19 07:42:00,30,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-19 07:42:00,10.666666666666666,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-19 13:57:00,32,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-19 13:57:00,78,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-19 13:57:00,56.5,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-19 20:12:00,11,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-19 20:12:00,70,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-19 20:12:00,36.142857142857146,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-20 02:27:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-20 02:27:00,12,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-20 02:27:00,9.666666666666666,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-20 08:42:00,9,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-20 08:42:00,69,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-20 08:42:00,19.5,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-20 14:57:00,38,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-20 14:57:00,73,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-20 14:57:00,53.333333333333336,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-20 21:12:00,11,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-20 21:12:00,70,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-20 21:12:00,29,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-21 03:27:00,11,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-21 03:27:00,13,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-21 03:27:00,11.666666666666666,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-21 09:42:00,11,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-21 09:42:00,67,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-21 09:42:00,28.5,,
"RNEC-LEM-00","Minimum CPU Load (%)",2022-01-21 15:57:00,35,,"RNEC-LEM-00","Peak CPU Load (%)",2022-01-21 15:57:00,70,,"RNEC-LEM-00","Average CPU Load (%)",2022-01-21 15:57:00,54.333333333333336,,
