Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);16/12/2021 5:38;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);16/12/2021 5:38;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);16/12/2021 5:38;6
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);17/12/2021 0:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);17/12/2021 0:23;14;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);17/12/2021 0:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);18/12/2021 1:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);18/12/2021 1:23;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);18/12/2021 1:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);19/12/2021 2:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);19/12/2021 2:23;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);19/12/2021 2:23;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);20/12/2021 3:23;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);20/12/2021 3:23;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);20/12/2021 3:23;6
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);21/12/2021 4:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);21/12/2021 4:23;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);21/12/2021 4:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);22/12/2021 5:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);22/12/2021 5:23;15;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);22/12/2021 5:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);23/12/2021 0:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);23/12/2021 0:08;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);23/12/2021 0:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);24/12/2021 1:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);24/12/2021 1:08;30;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);24/12/2021 1:08;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);25/12/2021 2:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);25/12/2021 2:08;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);25/12/2021 2:08;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);26/12/2021 3:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);26/12/2021 3:08;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);26/12/2021 3:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);27/12/2021 4:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);27/12/2021 4:08;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);27/12/2021 4:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);28/12/2021 5:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);28/12/2021 5:08;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);28/12/2021 5:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);29/12/2021 6:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);29/12/2021 6:08;15;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);29/12/2021 6:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);30/12/2021 0:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);30/12/2021 0:53;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);30/12/2021 0:53;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);31/12/2021 1:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);31/12/2021 1:53;9;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);31/12/2021 1:53;3
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);1/01/2022 2:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);1/01/2022 2:53;9;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);1/01/2022 2:53;3
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);2/01/2022 3:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);2/01/2022 3:53;10;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);2/01/2022 3:53;3
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);3/01/2022 4:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);3/01/2022 4:53;10;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);3/01/2022 4:53;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);4/01/2022 5:53;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);4/01/2022 5:53;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);4/01/2022 5:53;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);5/01/2022 0:38;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);5/01/2022 0:38;12;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);5/01/2022 0:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);6/01/2022 1:38;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);6/01/2022 1:38;15;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);6/01/2022 1:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);7/01/2022 2:38;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);7/01/2022 2:38;20;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);7/01/2022 2:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);8/01/2022 3:38;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);8/01/2022 3:38;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);8/01/2022 3:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);9/01/2022 4:38;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);9/01/2022 4:38;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);9/01/2022 4:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);10/01/2022 5:38;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);10/01/2022 5:38;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);10/01/2022 5:38;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);11/01/2022 0:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);11/01/2022 0:23;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);11/01/2022 0:23;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);12/01/2022 1:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);12/01/2022 1:23;22;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);12/01/2022 1:23;6
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);13/01/2022 2:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);13/01/2022 2:23;18;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);13/01/2022 2:23;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);14/01/2022 3:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);14/01/2022 3:23;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);14/01/2022 3:23;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);15/01/2022 4:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);15/01/2022 4:23;13;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);15/01/2022 4:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);16/01/2022 5:23;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);16/01/2022 5:23;14;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);16/01/2022 5:23;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);17/01/2022 0:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);17/01/2022 0:08;17;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);17/01/2022 0:08;5
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 1:08;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 1:08;8;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);18/01/2022 1:08;4
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 7:23;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 7:23;11;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);18/01/2022 7:23;4.166666667
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 13:38;4;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 13:38;16;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);18/01/2022 13:38;6.333333333
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 19:53;3;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 19:53;12;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);18/01/2022 19:53;5.166666667
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);19/01/2022 2:08;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);19/01/2022 2:08;14;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);19/01/2022 2:08;4.142857143
RNEC-MSG-01.registraduria.gov.co;Minimum CPU Load (%);19/01/2022 8:23;2;;RNEC-MSG-01.registraduria.gov.co;Peak CPU Load (%);19/01/2022 8:23;10;;RNEC-MSG-01.registraduria.gov.co;Average CPU Load (%);19/01/2022 8:23;4
