Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
rnec-ps-00;Minimum CPU Load (%);16/12/2021 5:48;0;;rnec-ps-00;Peak CPU Load (%);16/12/2021 5:48;21;;rnec-ps-00;Average CPU Load (%);16/12/2021 5:48;2
rnec-ps-00;Minimum CPU Load (%);17/12/2021 0:33;0;;rnec-ps-00;Peak CPU Load (%);17/12/2021 0:33;16;;rnec-ps-00;Average CPU Load (%);17/12/2021 0:33;1
rnec-ps-00;Minimum CPU Load (%);18/12/2021 1:33;0;;rnec-ps-00;Peak CPU Load (%);18/12/2021 1:33;19;;rnec-ps-00;Average CPU Load (%);18/12/2021 1:33;1
rnec-ps-00;Minimum CPU Load (%);19/12/2021 2:33;0;;rnec-ps-00;Peak CPU Load (%);19/12/2021 2:33;18;;rnec-ps-00;Average CPU Load (%);19/12/2021 2:33;2
rnec-ps-00;Minimum CPU Load (%);20/12/2021 3:33;0;;rnec-ps-00;Peak CPU Load (%);20/12/2021 3:33;17;;rnec-ps-00;Average CPU Load (%);20/12/2021 3:33;1
rnec-ps-00;Minimum CPU Load (%);21/12/2021 4:33;0;;rnec-ps-00;Peak CPU Load (%);21/12/2021 4:33;19;;rnec-ps-00;Average CPU Load (%);21/12/2021 4:33;1
rnec-ps-00;Minimum CPU Load (%);22/12/2021 5:33;0;;rnec-ps-00;Peak CPU Load (%);22/12/2021 5:33;22;;rnec-ps-00;Average CPU Load (%);22/12/2021 5:33;1
rnec-ps-00;Minimum CPU Load (%);23/12/2021 0:18;0;;rnec-ps-00;Peak CPU Load (%);23/12/2021 0:18;36;;rnec-ps-00;Average CPU Load (%);23/12/2021 0:18;2
rnec-ps-00;Minimum CPU Load (%);24/12/2021 1:18;0;;rnec-ps-00;Peak CPU Load (%);24/12/2021 1:18;24;;rnec-ps-00;Average CPU Load (%);24/12/2021 1:18;2
rnec-ps-00;Minimum CPU Load (%);25/12/2021 2:18;0;;rnec-ps-00;Peak CPU Load (%);25/12/2021 2:18;24;;rnec-ps-00;Average CPU Load (%);25/12/2021 2:18;2
rnec-ps-00;Minimum CPU Load (%);26/12/2021 3:18;0;;rnec-ps-00;Peak CPU Load (%);26/12/2021 3:18;30;;rnec-ps-00;Average CPU Load (%);26/12/2021 3:18;2
rnec-ps-00;Minimum CPU Load (%);27/12/2021 4:18;0;;rnec-ps-00;Peak CPU Load (%);27/12/2021 4:18;30;;rnec-ps-00;Average CPU Load (%);27/12/2021 4:18;2
rnec-ps-00;Minimum CPU Load (%);28/12/2021 5:18;0;;rnec-ps-00;Peak CPU Load (%);28/12/2021 5:18;56;;rnec-ps-00;Average CPU Load (%);28/12/2021 5:18;2
rnec-ps-00;Minimum CPU Load (%);29/12/2021 0:03;0;;rnec-ps-00;Peak CPU Load (%);29/12/2021 0:03;18;;rnec-ps-00;Average CPU Load (%);29/12/2021 0:03;2
rnec-ps-00;Minimum CPU Load (%);30/12/2021 1:03;0;;rnec-ps-00;Peak CPU Load (%);30/12/2021 1:03;28;;rnec-ps-00;Average CPU Load (%);30/12/2021 1:03;2
rnec-ps-00;Minimum CPU Load (%);31/12/2021 2:03;0;;rnec-ps-00;Peak CPU Load (%);31/12/2021 2:03;38;;rnec-ps-00;Average CPU Load (%);31/12/2021 2:03;1
rnec-ps-00;Minimum CPU Load (%);1/01/2022 3:03;0;;rnec-ps-00;Peak CPU Load (%);1/01/2022 3:03;17;;rnec-ps-00;Average CPU Load (%);1/01/2022 3:03;1
rnec-ps-00;Minimum CPU Load (%);2/01/2022 4:03;0;;rnec-ps-00;Peak CPU Load (%);2/01/2022 4:03;19;;rnec-ps-00;Average CPU Load (%);2/01/2022 4:03;2
rnec-ps-00;Minimum CPU Load (%);3/01/2022 5:03;0;;rnec-ps-00;Peak CPU Load (%);3/01/2022 5:03;19;;rnec-ps-00;Average CPU Load (%);3/01/2022 5:03;2
rnec-ps-00;Minimum CPU Load (%);4/01/2022 6:03;0;;rnec-ps-00;Peak CPU Load (%);4/01/2022 6:03;63;;rnec-ps-00;Average CPU Load (%);4/01/2022 6:03;2
rnec-ps-00;Minimum CPU Load (%);5/01/2022 0:48;0;;rnec-ps-00;Peak CPU Load (%);5/01/2022 0:48;29;;rnec-ps-00;Average CPU Load (%);5/01/2022 0:48;1
rnec-ps-00;Minimum CPU Load (%);6/01/2022 1:48;0;;rnec-ps-00;Peak CPU Load (%);6/01/2022 1:48;75;;rnec-ps-00;Average CPU Load (%);6/01/2022 1:48;2
rnec-ps-00;Minimum CPU Load (%);7/01/2022 2:48;0;;rnec-ps-00;Peak CPU Load (%);7/01/2022 2:48;17;;rnec-ps-00;Average CPU Load (%);7/01/2022 2:48;1
rnec-ps-00;Minimum CPU Load (%);8/01/2022 3:48;0;;rnec-ps-00;Peak CPU Load (%);8/01/2022 3:48;19;;rnec-ps-00;Average CPU Load (%);8/01/2022 3:48;1
rnec-ps-00;Minimum CPU Load (%);9/01/2022 4:48;0;;rnec-ps-00;Peak CPU Load (%);9/01/2022 4:48;16;;rnec-ps-00;Average CPU Load (%);9/01/2022 4:48;1
rnec-ps-00;Minimum CPU Load (%);10/01/2022 5:48;0;;rnec-ps-00;Peak CPU Load (%);10/01/2022 5:48;21;;rnec-ps-00;Average CPU Load (%);10/01/2022 5:48;1
rnec-ps-00;Minimum CPU Load (%);11/01/2022 0:33;0;;rnec-ps-00;Peak CPU Load (%);11/01/2022 0:33;34;;rnec-ps-00;Average CPU Load (%);11/01/2022 0:33;1
rnec-ps-00;Minimum CPU Load (%);12/01/2022 1:33;0;;rnec-ps-00;Peak CPU Load (%);12/01/2022 1:33;22;;rnec-ps-00;Average CPU Load (%);12/01/2022 1:33;2
