"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12823-Orion.CPULoad.MinLoad,0_Orion.Nodes_12823-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12823-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:11:00.000Z&endTime=2022-02-15T22:11:00.000Z"")"
Start,2021-12-15 05:11:00,End,2022-02-15 17:11:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-16 06:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-16 06:11:00,51,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-16 06:11:00,8,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-17 00:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-17 00:56:00,51,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-17 00:56:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-18 01:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-18 01:56:00,62,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-18 01:56:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-19 02:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-19 02:56:00,31,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-19 02:56:00,3,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-20 03:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-20 03:56:00,27,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-20 03:56:00,3,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-21 04:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-21 04:56:00,37,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-21 04:56:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-22 05:56:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-22 05:56:00,28,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-22 05:56:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-23 00:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-23 00:41:00,58,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-23 00:41:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-24 01:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-24 01:41:00,45,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-24 01:41:00,5,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-25 02:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-25 02:41:00,27,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-25 02:41:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-26 03:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-26 03:41:00,50,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-26 03:41:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-27 04:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-27 04:41:00,50,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-27 04:41:00,6,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-28 05:41:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-28 05:41:00,53,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-28 05:41:00,8,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-29 00:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-29 00:26:00,49,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-29 00:26:00,9,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-30 01:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-30 01:26:00,73,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-30 01:26:00,4,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2021-12-31 02:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2021-12-31 02:26:00,64,,"RNEC-PTNEC-00","Average CPU Load (%)",2021-12-31 02:26:00,5,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-01 03:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-01 03:26:00,60,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-01 03:26:00,12,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-02 04:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-02 04:26:00,59,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-02 04:26:00,12,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-03 05:26:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-03 05:26:00,79,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-03 05:26:00,12,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-04 00:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-04 00:11:00,57,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-04 00:11:00,12,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-05 01:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-05 01:11:00,57,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-05 01:11:00,13,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-06 02:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-06 02:11:00,79,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-06 02:11:00,16,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-07 03:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-07 03:11:00,71,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-07 03:11:00,20,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-08 04:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-08 04:11:00,66,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-08 04:11:00,15,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-09 05:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-09 05:11:00,52,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-09 05:11:00,9,,
"RNEC-PTNEC-00","Minimum CPU Load (%)",2022-01-10 06:11:00,0,,"RNEC-PTNEC-00","Peak CPU Load (%)",2022-01-10 06:11:00,81,,"RNEC-PTNEC-00","Average CPU Load (%)",2022-01-10 06:11:00,12,,
