"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12852-Orion.CPULoad.MinLoad,0_Orion.Nodes_12852-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12852-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:24:00.000Z&endTime=2022-02-15T21:24:00.000Z"")"
Start,2021-12-15 04:24:00,End,2022-02-15 16:24:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-16 05:24:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-16 05:24:00,88,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-16 05:24:00,6,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-17 00:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-17 00:09:00,73,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-17 00:09:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-18 01:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-18 01:09:00,79,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-18 01:09:00,7,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-19 02:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-19 02:09:00,61,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-19 02:09:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-20 03:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-20 03:09:00,67,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-20 03:09:00,6,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-21 04:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-21 04:09:00,85,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-21 04:09:00,15,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-22 05:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-22 05:09:00,70,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-22 05:09:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-23 06:09:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-23 06:09:00,52,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-23 06:09:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-24 00:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-24 00:54:00,76,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-24 00:54:00,3,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-25 01:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-25 01:54:00,41,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-25 01:54:00,3,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-26 02:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-26 02:54:00,100,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-26 02:54:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-27 03:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-27 03:54:00,52,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-27 03:54:00,4,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-28 04:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-28 04:54:00,85,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-28 04:54:00,6,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-29 05:54:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-29 05:54:00,82,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-29 05:54:00,7,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-30 00:39:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-30 00:39:00,100,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-30 00:39:00,9,,
"RNEC-RMS-00","Minimum CPU Load (%)",2021-12-31 01:39:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2021-12-31 01:39:00,91,,"RNEC-RMS-00","Average CPU Load (%)",2021-12-31 01:39:00,7,,
"RNEC-RMS-00","Minimum CPU Load (%)",2022-01-01 02:39:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2022-01-01 02:39:00,84,,"RNEC-RMS-00","Average CPU Load (%)",2022-01-01 02:39:00,5,,
"RNEC-RMS-00","Minimum CPU Load (%)",2022-01-02 03:39:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2022-01-02 03:39:00,100,,"RNEC-RMS-00","Average CPU Load (%)",2022-01-02 03:39:00,6,,
"RNEC-RMS-00","Minimum CPU Load (%)",2022-01-03 04:39:00,0,,"RNEC-RMS-00","Peak CPU Load (%)",2022-01-03 04:39:00,88,,"RNEC-RMS-00","Average CPU Load (%)",2022-01-03 04:39:00,7,,
