"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12866-Orion.CPULoad.MinLoad,0_Orion.Nodes_12866-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12866-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:24:00.000Z&endTime=2022-02-15T22:24:00.000Z"")"
Start,2021-12-15 05:24:00,End,2022-02-15 17:24:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-16 00:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-16 00:09:00,18,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-16 00:09:00,2,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-17 01:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-17 01:09:00,17,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-17 01:09:00,3,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-18 02:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-18 02:09:00,21,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-18 02:09:00,2,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-19 03:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-19 03:09:00,13,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-19 03:09:00,1,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-20 04:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-20 04:09:00,10,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-20 04:09:00,2,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-21 05:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-21 05:09:00,14,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-21 05:09:00,3,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-22 06:09:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-22 06:09:00,13,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-22 06:09:00,3,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-23 00:54:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-23 00:54:00,10,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-23 00:54:00,2,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-24 01:54:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-24 01:54:00,11,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-24 01:54:00,1,,
"RNEC-SCCM-CAS","Minimum CPU Load (%)",2021-12-25 02:54:00,0,,"RNEC-SCCM-CAS","Peak CPU Load (%)",2021-12-25 02:54:00,17,,"RNEC-SCCM-CAS","Average CPU Load (%)",2021-12-25 02:54:00,1,,
