"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12903-Orion.CPULoad.MinLoad,0_Orion.Nodes_12903-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12903-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:29:00.000Z&endTime=2022-02-15T22:29:00.000Z"")"
Start,2021-12-15 05:29:00,End,2022-02-15 17:29:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-16 00:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-16 00:14:00,9,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-16 00:14:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-17 01:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-17 01:14:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-17 01:14:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-18 02:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-18 02:14:00,13,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-18 02:14:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-19 03:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-19 03:14:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-19 03:14:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-20 04:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-20 04:14:00,13,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-20 04:14:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-21 05:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-21 05:14:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-21 05:14:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-22 06:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-22 06:14:00,18,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-22 06:14:00,4,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-23 00:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-23 00:59:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-23 00:59:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-24 01:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-24 01:59:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-24 01:59:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-25 02:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-25 02:59:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-25 02:59:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-26 03:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-26 03:59:00,14,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-26 03:59:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-27 04:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-27 04:59:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-27 04:59:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-28 05:59:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-28 05:59:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-28 05:59:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-29 00:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-29 00:44:00,9,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-29 00:44:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-30 01:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-30 01:44:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-30 01:44:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2021-12-31 02:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2021-12-31 02:44:00,10,,"RNEC-SCCM-P001","Average CPU Load (%)",2021-12-31 02:44:00,1,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-01 03:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-01 03:44:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-01 03:44:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-02 04:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-02 04:44:00,13,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-02 04:44:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-03 05:44:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-03 05:44:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-03 05:44:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-04 00:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-04 00:29:00,15,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-04 00:29:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-05 01:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-05 01:29:00,10,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-05 01:29:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-06 02:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-06 02:29:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-06 02:29:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-07 03:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-07 03:29:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-07 03:29:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-08 04:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-08 04:29:00,8,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-08 04:29:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-09 05:29:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-09 05:29:00,10,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-09 05:29:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-10 00:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-10 00:14:00,11,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-10 00:14:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-11 01:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-11 01:14:00,12,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-11 01:14:00,2,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-12 02:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-12 02:14:00,13,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-12 02:14:00,3,,
"RNEC-SCCM-P001","Minimum CPU Load (%)",2022-01-13 03:14:00,0,,"RNEC-SCCM-P001","Peak CPU Load (%)",2022-01-13 03:14:00,10,,"RNEC-SCCM-P001","Average CPU Load (%)",2022-01-13 03:14:00,2,,
