"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12817-Orion.CPULoad.MinLoad,0_Orion.Nodes_12817-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12817-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:33:00.000Z&endTime=2022-02-15T22:33:00.000Z"")"
Start,2021-12-15 05:33:00,End,2022-02-15 17:33:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-16 00:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-16 00:18:00,21,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-16 00:18:00,3,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-17 01:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-17 01:18:00,19,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-17 01:18:00,2,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-18 02:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-18 02:18:00,58,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-18 02:18:00,4,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-19 03:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-19 03:18:00,30,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-19 03:18:00,6,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-20 04:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-20 04:18:00,64,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-20 04:18:00,7,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-21 05:18:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-21 05:18:00,35,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-21 05:18:00,9,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-22 00:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-22 00:03:00,28,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-22 00:03:00,10,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-23 01:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-23 01:03:00,40,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-23 01:03:00,10,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-24 02:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-24 02:03:00,34,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-24 02:03:00,12,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-25 03:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-25 03:03:00,34,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-25 03:03:00,9,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-26 04:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-26 04:03:00,25,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-26 04:03:00,4,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-27 05:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-27 05:03:00,32,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-27 05:03:00,4,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-28 06:03:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-28 06:03:00,34,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-28 06:03:00,3,,
"RNEC-SCOM-00","Minimum CPU Load (%)",2021-12-29 00:48:00,0,,"RNEC-SCOM-00","Peak CPU Load (%)",2021-12-29 00:48:00,43,,"RNEC-SCOM-00","Average CPU Load (%)",2021-12-29 00:48:00,6,,
