"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12859-Orion.CPULoad.MinLoad,0_Orion.Nodes_12859-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12859-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:36:00.000Z&endTime=2022-02-15T22:36:00.000Z"")"
Start,2021-12-15 05:36:00,End,2022-02-15 17:36:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-16 00:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-16 00:21:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-16 00:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-17 01:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-17 01:21:00,14,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-17 01:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-18 02:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-18 02:21:00,11,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-18 02:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-19 03:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-19 03:21:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-19 03:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-20 04:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-20 04:21:00,24,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-20 04:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-21 05:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-21 05:21:00,24,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-21 05:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-22 00:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-22 00:06:00,29,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-22 00:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-23 01:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-23 01:06:00,25,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-23 01:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-24 02:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-24 02:06:00,22,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-24 02:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-25 03:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-25 03:06:00,22,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-25 03:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-26 04:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-26 04:06:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-26 04:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-27 05:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-27 05:06:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-27 05:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-28 06:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-28 06:06:00,23,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-28 06:06:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-29 00:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-29 00:51:00,46,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-29 00:51:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-30 01:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-30 01:51:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-30 01:51:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2021-12-31 02:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2021-12-31 02:51:00,23,,"RNEC-SCSM-MS","Average CPU Load (%)",2021-12-31 02:51:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-01 03:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-01 03:51:00,23,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-01 03:51:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-02 04:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-02 04:51:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-02 04:51:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-03 05:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-03 05:51:00,19,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-03 05:51:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-04 00:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-04 00:36:00,34,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-04 00:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-05 01:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-05 01:36:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-05 01:36:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-06 02:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-06 02:36:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-06 02:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-07 03:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-07 03:36:00,30,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-07 03:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-08 04:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-08 04:36:00,27,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-08 04:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-09 05:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-09 05:36:00,9,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-09 05:36:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-10 00:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-10 00:21:00,23,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-10 00:21:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-11 01:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-11 01:21:00,22,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-11 01:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-12 02:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-12 02:21:00,15,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-12 02:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-13 03:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-13 03:21:00,19,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-13 03:21:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-14 04:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-14 04:21:00,14,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-14 04:21:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-15 05:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-15 05:21:00,46,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-15 05:21:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-16 00:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-16 00:06:00,14,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-16 00:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-17 01:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-17 01:06:00,18,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-17 01:06:00,1,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-18 02:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-18 02:06:00,17,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-18 02:06:00,2.6666666666666665,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-18 08:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-18 08:21:00,14,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-18 08:21:00,2.1666666666666665,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-18 14:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-18 14:36:00,8,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-18 14:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-18 20:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-18 20:51:00,9,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-18 20:51:00,1.8333333333333333,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-19 03:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-19 03:06:00,17,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-19 03:06:00,1.8571428571428572,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-19 09:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-19 09:21:00,7,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-19 09:21:00,1.1666666666666667,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-19 15:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-19 15:36:00,6,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-19 15:36:00,1.1666666666666667,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-19 21:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-19 21:51:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-19 21:51:00,2.1666666666666665,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-20 04:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-20 04:06:00,11,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-20 04:06:00,1.5714285714285714,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-20 10:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-20 10:21:00,12,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-20 10:21:00,1.8333333333333333,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-20 16:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-20 16:36:00,7,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-20 16:36:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-20 22:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-20 22:51:00,12,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-20 22:51:00,2,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-21 05:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-21 05:06:00,14,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-21 05:06:00,2.317073170731707,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-21 11:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-21 11:21:00,5,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-21 11:21:00,1.3333333333333333,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-21 17:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-21 17:36:00,19,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-21 17:36:00,2.5,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-21 23:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-21 23:51:00,8,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-21 23:51:00,2.5,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-22 06:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-22 06:06:00,7,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-22 06:06:00,1.5714285714285714,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-22 12:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-22 12:21:00,20,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-22 12:21:00,2.3333333333333335,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-22 18:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-22 18:36:00,6,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-22 18:36:00,1.3333333333333333,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-23 00:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-23 00:51:00,9,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-23 00:51:00,2.3333333333333335,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-23 07:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-23 07:06:00,25,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-23 07:06:00,2.5714285714285716,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-23 13:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-23 13:21:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-23 13:21:00,2.8333333333333335,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-23 19:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-23 19:36:00,8,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-23 19:36:00,1.5,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-24 01:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-24 01:51:00,21,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-24 01:51:00,2.5,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-24 08:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-24 08:06:00,29,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-24 08:06:00,3.142857142857143,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-24 14:21:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-24 14:21:00,12,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-24 14:21:00,2.1666666666666665,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-24 20:36:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-24 20:36:00,28,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-24 20:36:00,2.3333333333333335,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-25 02:51:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-25 02:51:00,18,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-25 02:51:00,2.142857142857143,,
"RNEC-SCSM-MS","Minimum CPU Load (%)",2022-01-25 09:06:00,0,,"RNEC-SCSM-MS","Peak CPU Load (%)",2022-01-25 09:06:00,23,,"RNEC-SCSM-MS","Average CPU Load (%)",2022-01-25 09:06:00,2.2857142857142856,,
