"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12810-Orion.CPULoad.MinLoad,0_Orion.Nodes_12810-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12810-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:38:00.000Z&endTime=2022-02-15T22:38:00.000Z"")"
Start,2021-12-15 05:38:00,End,2022-02-15 17:38:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-16 00:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-16 00:23:00,17,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-16 00:23:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-17 01:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-17 01:23:00,6,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-17 01:23:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-18 02:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-18 02:23:00,19,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-18 02:23:00,2,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-19 03:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-19 03:23:00,10,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-19 03:23:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-20 04:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-20 04:23:00,19,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-20 04:23:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-21 05:23:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-21 05:23:00,18,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-21 05:23:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-22 00:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-22 00:08:00,23,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-22 00:08:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-23 01:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-23 01:08:00,18,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-23 01:08:00,3,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-24 02:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-24 02:08:00,8,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-24 02:08:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-25 03:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-25 03:08:00,19,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-25 03:08:00,2,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-26 04:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-26 04:08:00,15,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-26 04:08:00,2,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-27 05:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-27 05:08:00,9,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-27 05:08:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-28 06:08:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-28 06:08:00,23,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-28 06:08:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-29 00:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-29 00:53:00,12,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-29 00:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-30 01:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-30 01:53:00,19,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-30 01:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2021-12-31 02:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2021-12-31 02:53:00,17,,"RNEC-SCVMM-01","Average CPU Load (%)",2021-12-31 02:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-01 03:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-01 03:53:00,21,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-01 03:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-02 04:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-02 04:53:00,16,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-02 04:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-03 05:53:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-03 05:53:00,17,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-03 05:53:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-04 00:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-04 00:38:00,20,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-04 00:38:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-05 01:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-05 01:38:00,20,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-05 01:38:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-06 02:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-06 02:38:00,15,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-06 02:38:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-07 03:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-07 03:38:00,13,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-07 03:38:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-08 04:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-08 04:38:00,12,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-08 04:38:00,1,,
"RNEC-SCVMM-01","Minimum CPU Load (%)",2022-01-09 05:38:00,0,,"RNEC-SCVMM-01","Peak CPU Load (%)",2022-01-09 05:38:00,11,,"RNEC-SCVMM-01","Average CPU Load (%)",2022-01-09 05:38:00,1,,
