"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12825-Orion.CPULoad.MinLoad,0_Orion.Nodes_12825-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12825-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:46:00.000Z&endTime=2022-02-15T20:46:00.000Z"")"
Start,2021-12-15 03:46:00,End,2022-02-15 15:46:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-16 04:46:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-16 04:46:00,97,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-16 04:46:00,13,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-17 05:46:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-17 05:46:00,87,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-17 05:46:00,7,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-18 00:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-18 00:31:00,97,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-18 00:31:00,10,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-19 01:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-19 01:31:00,96,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-19 01:31:00,13,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-20 02:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-20 02:31:00,99,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-20 02:31:00,20,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-21 03:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-21 03:31:00,92,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-21 03:31:00,43,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-22 04:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-22 04:31:00,100,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-22 04:31:00,18,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-23 05:31:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-23 05:31:00,97,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-23 05:31:00,13,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-24 00:16:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-24 00:16:00,94,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-24 00:16:00,8,,
"RNEC-SUPPORT","Minimum CPU Load (%)",2021-12-25 01:16:00,0,,"RNEC-SUPPORT","Peak CPU Load (%)",2021-12-25 01:16:00,93,,"RNEC-SUPPORT","Average CPU Load (%)",2021-12-25 01:16:00,11,,
