"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12943-Orion.CPULoad.MinLoad,0_Orion.Nodes_12943-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12943-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:28:00.000Z&endTime=2022-02-15T21:28:00.000Z"")"
Start,2021-12-15 04:28:00,End,2022-02-15 16:28:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-16 05:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-16 05:28:00,56,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-16 05:28:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-17 00:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-17 00:13:00,66,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-17 00:13:00,6,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-18 01:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-18 01:13:00,43,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-18 01:13:00,5,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-19 02:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-19 02:13:00,23,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-19 02:13:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-20 03:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-20 03:13:00,43,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-20 03:13:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-21 04:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-21 04:13:00,22,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-21 04:13:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-22 05:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-22 05:13:00,40,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-22 05:13:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-23 06:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-23 06:13:00,20,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-23 06:13:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-24 00:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-24 00:58:00,79,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-24 00:58:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-25 01:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-25 01:58:00,20,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-25 01:58:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-26 02:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-26 02:58:00,44,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-26 02:58:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-27 03:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-27 03:58:00,23,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-27 03:58:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-28 04:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-28 04:58:00,49,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-28 04:58:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-29 05:58:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-29 05:58:00,41,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-29 05:58:00,5,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-30 00:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-30 00:43:00,35,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-30 00:43:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2021-12-31 01:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2021-12-31 01:43:00,38,,"rnec-svtdeploy-01","Average CPU Load (%)",2021-12-31 01:43:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-01 02:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-01 02:43:00,32,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-01 02:43:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-02 03:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-02 03:43:00,29,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-02 03:43:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-03 04:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-03 04:43:00,32,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-03 04:43:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-04 05:43:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-04 05:43:00,52,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-04 05:43:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-05 00:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-05 00:28:00,34,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-05 00:28:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-06 01:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-06 01:28:00,31,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-06 01:28:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-07 02:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-07 02:28:00,44,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-07 02:28:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-08 03:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-08 03:28:00,32,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-08 03:28:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-09 04:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-09 04:28:00,21,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-09 04:28:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-10 05:28:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-10 05:28:00,55,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-10 05:28:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-11 00:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-11 00:13:00,23,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-11 00:13:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-12 01:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-12 01:13:00,28,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-12 01:13:00,3,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-13 02:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-13 02:13:00,32,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-13 02:13:00,4,,
"rnec-svtdeploy-01","Minimum CPU Load (%)",2022-01-14 03:13:00,0,,"rnec-svtdeploy-01","Peak CPU Load (%)",2022-01-14 03:13:00,49,,"rnec-svtdeploy-01","Average CPU Load (%)",2022-01-14 03:13:00,4,,
