"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19226-Orion.CPULoad.MinLoad,0_Orion.Nodes_19226-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19226-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:45:00.000Z&endTime=2022-02-15T21:45:00.000Z"")"
Start,2021-12-15 04:45:00,End,2022-02-15 16:45:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-16 05:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-16 05:45:00,40,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-16 05:45:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-17 00:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-17 00:30:00,26,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-17 00:30:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-18 01:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-18 01:30:00,27,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-18 01:30:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-19 02:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-19 02:30:00,33,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-19 02:30:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-20 03:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-20 03:30:00,36,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-20 03:30:00,0,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-21 04:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-21 04:30:00,30,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-21 04:30:00,1,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-22 05:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-22 05:30:00,28,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-22 05:30:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-23 00:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-23 00:15:00,27,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-23 00:15:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-24 01:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-24 01:15:00,21,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-24 01:15:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-25 02:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-25 02:15:00,27,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-25 02:15:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-26 03:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-26 03:15:00,11,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-26 03:15:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-27 04:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-27 04:15:00,21,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-27 04:15:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-28 05:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-28 05:15:00,37,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-28 05:15:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-29 00:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-29 00:00:00,18,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-29 00:00:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-30 01:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-30 01:00:00,49,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-30 01:00:00,7,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2021-12-31 02:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2021-12-31 02:00:00,24,,"RNEC-TIGOP-00","Average CPU Load (%)",2021-12-31 02:00:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-01 03:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-01 03:00:00,17,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-01 03:00:00,5,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-02 04:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-02 04:00:00,31,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-02 04:00:00,5,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-03 05:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-03 05:00:00,46,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-03 05:00:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-04 06:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-04 06:00:00,54,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-04 06:00:00,7,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-05 00:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-05 00:45:00,15,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-05 00:45:00,1,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-06 01:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-06 01:45:00,27,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-06 01:45:00,1,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-07 02:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-07 02:45:00,17,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-07 02:45:00,0,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-08 03:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-08 03:45:00,27,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-08 03:45:00,1,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-09 04:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-09 04:45:00,20,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-09 04:45:00,0,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-10 05:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-10 05:45:00,23,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-10 05:45:00,0,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-11 00:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-11 00:30:00,53,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-11 00:30:00,2,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-12 01:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-12 01:30:00,25,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-12 01:30:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-13 02:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-13 02:30:00,40,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-13 02:30:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-14 03:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-14 03:30:00,35,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-14 03:30:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-15 04:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-15 04:30:00,26,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-15 04:30:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-16 05:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-16 05:30:00,29,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-16 05:30:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-17 00:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-17 00:15:00,13,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-17 00:15:00,3,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-18 01:15:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-18 01:15:00,10,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-18 01:15:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-18 07:30:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-18 07:30:00,23,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-18 07:30:00,5.166666666666667,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-18 13:45:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-18 13:45:00,20,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-18 13:45:00,4,,
"RNEC-TIGOP-00","Minimum CPU Load (%)",2022-01-18 20:00:00,0,,"RNEC-TIGOP-00","Peak CPU Load (%)",2022-01-18 20:00:00,35,,"RNEC-TIGOP-00","Average CPU Load (%)",2022-01-18 20:00:00,4.857142857142857,,
