"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12861-Orion.CPULoad.MinLoad,0_Orion.Nodes_12861-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12861-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:43:00.000Z&endTime=2022-02-15T21:43:00.000Z"")"
Start,2021-12-15 04:43:00,End,2022-02-15 16:43:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-16 05:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-16 05:43:00,43,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-16 05:43:00,2,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-17 00:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-17 00:28:00,21,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-17 00:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-18 01:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-18 01:28:00,7,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-18 01:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-19 02:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-19 02:28:00,23,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-19 02:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-20 03:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-20 03:28:00,20,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-20 03:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-21 04:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-21 04:28:00,14,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-21 04:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-22 05:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-22 05:28:00,54,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-22 05:28:00,4,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-23 00:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-23 00:13:00,33,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-23 00:13:00,12,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-24 01:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-24 01:13:00,25,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-24 01:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-25 02:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-25 02:13:00,21,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-25 02:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-26 03:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-26 03:13:00,24,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-26 03:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-27 04:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-27 04:13:00,21,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-27 04:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-28 05:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-28 05:13:00,20,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-28 05:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-29 06:13:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-29 06:13:00,26,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-29 06:13:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-30 00:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-30 00:58:00,22,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-30 00:58:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2021-12-31 01:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2021-12-31 01:58:00,42,,"RNEC-TIGOUNE","Average CPU Load (%)",2021-12-31 01:58:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-01 02:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-01 02:58:00,29,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-01 02:58:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-02 03:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-02 03:58:00,17,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-02 03:58:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-03 04:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-03 04:58:00,10,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-03 04:58:00,0,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-04 05:58:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-04 05:58:00,21,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-04 05:58:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-05 00:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-05 00:43:00,25,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-05 00:43:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-06 01:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-06 01:43:00,32,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-06 01:43:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-07 02:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-07 02:43:00,27,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-07 02:43:00,2,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-08 03:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-08 03:43:00,38,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-08 03:43:00,4,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-09 04:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-09 04:43:00,47,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-09 04:43:00,5,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-10 05:43:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-10 05:43:00,30,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-10 05:43:00,6,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-11 00:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-11 00:28:00,70,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-11 00:28:00,8,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-12 01:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-12 01:28:00,23,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-12 01:28:00,3,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-13 02:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-13 02:28:00,22,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-13 02:28:00,1,,
"RNEC-TIGOUNE","Minimum CPU Load (%)",2022-01-14 03:28:00,0,,"RNEC-TIGOUNE","Peak CPU Load (%)",2022-01-14 03:28:00,17,,"RNEC-TIGOUNE","Average CPU Load (%)",2022-01-14 03:28:00,1,,
