"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12917-Orion.CPULoad.MinLoad,0_Orion.Nodes_12917-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12917-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:55:00.000Z&endTime=2022-02-15T21:55:00.000Z"")"
Start,2021-12-15 04:55:00,End,2022-02-15 16:55:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-16 05:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-16 05:55:00,13,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-16 05:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-17 00:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-17 00:40:00,27,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-17 00:40:00,2,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-18 01:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-18 01:40:00,58,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-18 01:40:00,2,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-19 02:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-19 02:40:00,15,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-19 02:40:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-20 03:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-20 03:40:00,17,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-20 03:40:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-21 04:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-21 04:40:00,51,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-21 04:40:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-22 05:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-22 05:40:00,16,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-22 05:40:00,0,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-23 00:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-23 00:25:00,11,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-23 00:25:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-24 01:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-24 01:25:00,14,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-24 01:25:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-25 02:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-25 02:25:00,7,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-25 02:25:00,0,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-26 03:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-26 03:25:00,15,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-26 03:25:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-27 04:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-27 04:25:00,11,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-27 04:25:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-28 05:25:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-28 05:25:00,45,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-28 05:25:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-29 00:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-29 00:10:00,21,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-29 00:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-30 01:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-30 01:10:00,13,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-30 01:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2021-12-31 02:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2021-12-31 02:10:00,44,,"RNEC-TMICDS-00","Average CPU Load (%)",2021-12-31 02:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-01 03:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-01 03:10:00,26,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-01 03:10:00,2,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-02 04:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-02 04:10:00,17,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-02 04:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-03 05:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-03 05:10:00,16,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-03 05:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-04 06:10:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-04 06:10:00,100,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-04 06:10:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-05 00:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-05 00:55:00,9,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-05 00:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-06 01:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-06 01:55:00,15,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-06 01:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-07 02:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-07 02:55:00,19,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-07 02:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-08 03:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-08 03:55:00,13,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-08 03:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-09 04:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-09 04:55:00,13,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-09 04:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-10 05:55:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-10 05:55:00,18,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-10 05:55:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-11 00:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-11 00:40:00,15,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-11 00:40:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-12 01:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-12 01:40:00,16,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-12 01:40:00,1,,
"RNEC-TMICDS-00","Minimum CPU Load (%)",2022-01-13 02:40:00,0,,"RNEC-TMICDS-00","Peak CPU Load (%)",2022-01-13 02:40:00,14,,"RNEC-TMICDS-00","Average CPU Load (%)",2022-01-13 02:40:00,1,,
