"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19229-Orion.CPULoad.MinLoad,0_Orion.Nodes_19229-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19229-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:53:00.000Z&endTime=2022-02-15T21:53:00.000Z"")"
Start,2021-12-15 04:53:00,End,2022-02-15 16:53:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-16 05:53:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-16 05:53:00,7,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-16 05:53:00,2,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-17 00:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-17 00:38:00,5,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-17 00:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-18 01:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-18 01:38:00,6,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-18 01:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-19 02:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-19 02:38:00,7,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-19 02:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-20 03:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-20 03:38:00,6,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-20 03:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-21 04:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-21 04:38:00,6,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-21 04:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-22 05:38:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-22 05:38:00,9,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-22 05:38:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-23 00:23:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-23 00:23:00,7,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-23 00:23:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-24 01:23:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-24 01:23:00,8,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-24 01:23:00,1,,
"RNEC-TPDMZ","Minimum CPU Load (%)",2021-12-25 02:23:00,0,,"RNEC-TPDMZ","Peak CPU Load (%)",2021-12-25 02:23:00,6,,"RNEC-TPDMZ","Average CPU Load (%)",2021-12-25 02:23:00,1,,
