"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12906-Orion.CPULoad.MinLoad,0_Orion.Nodes_12906-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12906-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:41:00.000Z&endTime=2022-02-15T21:41:00.000Z"")"
Start,2021-12-15 04:41:00,End,2022-02-15 16:41:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-16 05:41:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-16 05:41:00,73,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-16 05:41:00,13,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-17 00:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-17 00:26:00,71,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-17 00:26:00,9,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-18 01:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-18 01:26:00,42,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-18 01:26:00,4,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-19 02:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-19 02:26:00,45,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-19 02:26:00,3,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-20 03:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-20 03:26:00,61,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-20 03:26:00,9,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-21 04:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-21 04:26:00,98,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-21 04:26:00,9,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-22 05:26:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-22 05:26:00,61,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-22 05:26:00,10,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-23 00:11:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-23 00:11:00,98,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-23 00:11:00,21,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-24 01:11:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-24 01:11:00,70,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-24 01:11:00,11,,
"RNEC-TigoUNE-P","Minimum CPU Load (%)",2021-12-25 02:11:00,0,,"RNEC-TigoUNE-P","Peak CPU Load (%)",2021-12-25 02:11:00,55,,"RNEC-TigoUNE-P","Average CPU Load (%)",2021-12-25 02:11:00,4,,
