"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_17061-Orion.CPULoad.MinLoad,0_Orion.Nodes_17061-Orion.CPULoad.MaxLoad,0_Orion.Nodes_17061-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:13:00.000Z&endTime=2022-02-15T20:13:00.000Z"")"
Start,2021-12-15 03:13:00,End,2022-02-15 15:13:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-16 04:13:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-16 04:13:00,16,,"RNEC-VM-13","Average CPU Load (%)",2021-12-16 04:13:00,3,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-17 05:13:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-17 05:13:00,16,,"RNEC-VM-13","Average CPU Load (%)",2021-12-17 05:13:00,4,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-18 06:13:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-18 06:13:00,17,,"RNEC-VM-13","Average CPU Load (%)",2021-12-18 06:13:00,2,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-19 00:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-19 00:58:00,14,,"RNEC-VM-13","Average CPU Load (%)",2021-12-19 00:58:00,3,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-20 01:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-20 01:58:00,17,,"RNEC-VM-13","Average CPU Load (%)",2021-12-20 01:58:00,2,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-21 02:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-21 02:58:00,17,,"RNEC-VM-13","Average CPU Load (%)",2021-12-21 02:58:00,2,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-22 03:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-22 03:58:00,11,,"RNEC-VM-13","Average CPU Load (%)",2021-12-22 03:58:00,1,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-23 04:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-23 04:58:00,9,,"RNEC-VM-13","Average CPU Load (%)",2021-12-23 04:58:00,1,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-24 05:58:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-24 05:58:00,7,,"RNEC-VM-13","Average CPU Load (%)",2021-12-24 05:58:00,1,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-25 00:43:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-25 00:43:00,11,,"RNEC-VM-13","Average CPU Load (%)",2021-12-25 00:43:00,1,,
"RNEC-VM-13","Minimum CPU Load (%)",2021-12-26 01:43:00,0,,"RNEC-VM-13","Peak CPU Load (%)",2021-12-26 01:43:00,10,,"RNEC-VM-13","Average CPU Load (%)",2021-12-26 01:43:00,1,,
