Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
rnec-web-01;Minimum CPU Load (%);16/12/2021 4:04;0;;rnec-web-01;Peak CPU Load (%);16/12/2021 4:04;32;;rnec-web-01;Average CPU Load (%);16/12/2021 4:04;9
rnec-web-01;Minimum CPU Load (%);17/12/2021 5:04;0;;rnec-web-01;Peak CPU Load (%);17/12/2021 5:04;31;;rnec-web-01;Average CPU Load (%);17/12/2021 5:04;9
rnec-web-01;Minimum CPU Load (%);18/12/2021 6:04;0;;rnec-web-01;Peak CPU Load (%);18/12/2021 6:04;37;;rnec-web-01;Average CPU Load (%);18/12/2021 6:04;9
rnec-web-01;Minimum CPU Load (%);19/12/2021 0:49;0;;rnec-web-01;Peak CPU Load (%);19/12/2021 0:49;29;;rnec-web-01;Average CPU Load (%);19/12/2021 0:49;9
rnec-web-01;Minimum CPU Load (%);20/12/2021 1:49;0;;rnec-web-01;Peak CPU Load (%);20/12/2021 1:49;34;;rnec-web-01;Average CPU Load (%);20/12/2021 1:49;9
rnec-web-01;Minimum CPU Load (%);21/12/2021 2:49;0;;rnec-web-01;Peak CPU Load (%);21/12/2021 2:49;33;;rnec-web-01;Average CPU Load (%);21/12/2021 2:49;10
rnec-web-01;Minimum CPU Load (%);22/12/2021 3:49;0;;rnec-web-01;Peak CPU Load (%);22/12/2021 3:49;29;;rnec-web-01;Average CPU Load (%);22/12/2021 3:49;8
rnec-web-01;Minimum CPU Load (%);23/12/2021 4:49;0;;rnec-web-01;Peak CPU Load (%);23/12/2021 4:49;29;;rnec-web-01;Average CPU Load (%);23/12/2021 4:49;8
rnec-web-01;Minimum CPU Load (%);24/12/2021 5:49;0;;rnec-web-01;Peak CPU Load (%);24/12/2021 5:49;37;;rnec-web-01;Average CPU Load (%);24/12/2021 5:49;10
rnec-web-01;Minimum CPU Load (%);25/12/2021 0:34;0;;rnec-web-01;Peak CPU Load (%);25/12/2021 0:34;26;;rnec-web-01;Average CPU Load (%);25/12/2021 0:34;9
rnec-web-01;Minimum CPU Load (%);26/12/2021 1:34;0;;rnec-web-01;Peak CPU Load (%);26/12/2021 1:34;32;;rnec-web-01;Average CPU Load (%);26/12/2021 1:34;9
rnec-web-01;Minimum CPU Load (%);27/12/2021 2:34;0;;rnec-web-01;Peak CPU Load (%);27/12/2021 2:34;35;;rnec-web-01;Average CPU Load (%);27/12/2021 2:34;10
