"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19228-Orion.CPULoad.MinLoad,0_Orion.Nodes_19228-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19228-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:56:00.000Z&endTime=2022-02-15T21:56:00.000Z"")"
Start,2021-12-15 04:56:00,End,2022-02-15 16:56:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-16 05:56:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-16 05:56:00,13,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-16 05:56:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-17 00:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-17 00:41:00,14,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-17 00:41:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-18 01:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-18 01:41:00,15,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-18 01:41:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-19 02:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-19 02:41:00,14,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-19 02:41:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-20 03:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-20 03:41:00,15,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-20 03:41:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-21 04:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-21 04:41:00,18,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-21 04:41:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-22 05:41:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-22 05:41:00,17,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-22 05:41:00,2,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-23 00:26:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-23 00:26:00,15,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-23 00:26:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-24 01:26:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-24 01:26:00,18,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-24 01:26:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-25 02:26:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-25 02:26:00,16,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-25 02:26:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-26 03:26:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-26 03:26:00,15,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-26 03:26:00,1,,
"RNEC-WSUS-00","Minimum CPU Load (%)",2021-12-27 04:26:00,0,,"RNEC-WSUS-00","Peak CPU Load (%)",2021-12-27 04:26:00,16,,"RNEC-WSUS-00","Average CPU Load (%)",2021-12-27 04:26:00,1,,
