"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_13105-Orion.CPULoad.MinLoad,0_Orion.Nodes_13105-Orion.CPULoad.MaxLoad,0_Orion.Nodes_13105-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:42:00.000Z&endTime=2022-02-15T22:42:00.000Z"")"
Start,2021-12-15 05:42:00,End,2022-02-15 17:42:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-16 00:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-16 00:27:00,22,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-16 00:27:00,4,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-17 01:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-17 01:27:00,10,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-17 01:27:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-18 02:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-18 02:27:00,12,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-18 02:27:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-19 03:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-19 03:27:00,17,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-19 03:27:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-20 04:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-20 04:27:00,19,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-20 04:27:00,2,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-21 05:27:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-21 05:27:00,10,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-21 05:27:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-22 00:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-22 00:12:00,8,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-22 00:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-23 01:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-23 01:12:00,34,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-23 01:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-24 02:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-24 02:12:00,26,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-24 02:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-25 03:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-25 03:12:00,14,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-25 03:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-26 04:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-26 04:12:00,13,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-26 04:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-27 05:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-27 05:12:00,10,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-27 05:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-28 06:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-28 06:12:00,25,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-28 06:12:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-29 00:57:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-29 00:57:00,14,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-29 00:57:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-30 01:57:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-30 01:57:00,18,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-30 01:57:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2021-12-31 02:57:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2021-12-31 02:57:00,12,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2021-12-31 02:57:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-01 03:57:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-01 03:57:00,10,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-01 03:57:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-02 04:57:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-02 04:57:00,15,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-02 04:57:00,1,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-03 05:57:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-03 05:57:00,12,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-03 05:57:00,2,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-04 00:42:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-04 00:42:00,35,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-04 00:42:00,3,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-05 01:42:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-05 01:42:00,22,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-05 01:42:00,3,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-06 02:42:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-06 02:42:00,15,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-06 02:42:00,2,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-07 03:42:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-07 03:42:00,22,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-07 03:42:00,2,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-08 04:42:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-08 04:42:00,17,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-08 04:42:00,3,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-09 05:42:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-09 05:42:00,63,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-09 05:42:00,3,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-10 00:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-10 00:27:00,49,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-10 00:27:00,5,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-11 01:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-11 01:27:00,30,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-11 01:27:00,7,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-12 02:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-12 02:27:00,34,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-12 02:27:00,8,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-13 03:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-13 03:27:00,100,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-13 03:27:00,16,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-14 04:27:00,1,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-14 04:27:00,19,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-14 04:27:00,4,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-15 05:27:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-15 05:27:00,11,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-15 05:27:00,2,,
"TVM-PAPP01-RNEC","Minimum CPU Load (%)",2022-01-16 00:12:00,0,,"TVM-PAPP01-RNEC","Peak CPU Load (%)",2022-01-16 00:12:00,18,,"TVM-PAPP01-RNEC","Average CPU Load (%)",2022-01-16 00:12:00,2,,
