"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_13109-Orion.CPULoad.MinLoad,0_Orion.Nodes_13109-Orion.CPULoad.MaxLoad,0_Orion.Nodes_13109-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:21:00.000Z&endTime=2022-02-15T21:21:00.000Z"")"
Start,2021-12-15 04:21:00,End,2022-02-15 16:21:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-16 05:21:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-16 05:21:00,11,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-16 05:21:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-17 00:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-17 00:06:00,3,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-17 00:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-18 01:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-18 01:06:00,5,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-18 01:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-19 02:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-19 02:06:00,5,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-19 02:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-20 03:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-20 03:06:00,5,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-20 03:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-21 04:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-21 04:06:00,6,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-21 04:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-22 05:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-22 05:06:00,3,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-22 05:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-23 06:06:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-23 06:06:00,8,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-23 06:06:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-24 00:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-24 00:51:00,6,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-24 00:51:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-25 01:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-25 01:51:00,5,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-25 01:51:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-26 02:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-26 02:51:00,6,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-26 02:51:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-27 03:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-27 03:51:00,4,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-27 03:51:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-28 04:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-28 04:51:00,6,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-28 04:51:00,1,,
"TVM-PWEB01-RNEC","Minimum CPU Load (%)",2021-12-29 05:51:00,1,,"TVM-PWEB01-RNEC","Peak CPU Load (%)",2021-12-29 05:51:00,3,,"TVM-PWEB01-RNEC","Average CPU Load (%)",2021-12-29 05:51:00,1,,
