"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19268-Orion.CPULoad.MinMemoryUsed,0_Orion.Nodes_19268-Orion.CPULoad.MaxMemoryUsed,0_Orion.Nodes_19268-Orion.CPULoad.AvgMemoryUsed;&startTime=2021-12-15T08:05:00.000Z&endTime=2022-02-15T20:05:00.000Z"")"
Start,2021-12-15 03:05:00,End,2022-02-15 15:05:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-16 04:05:00,2894200832,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-16 04:05:00,2990600192,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-16 04:05:00,2947346611.3868613,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-17 05:05:00,2898354176,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-17 05:05:00,2983292928,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-17 05:05:00,2946269354.6666665,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-18 06:05:00,2848735232,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-18 06:05:00,3005763584,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-18 06:05:00,2938672640,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-19 00:50:00,2842845184,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-19 00:50:00,3002294272,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-19 00:50:00,2954551267.5555553,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-20 01:50:00,2842193920,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-20 01:50:00,2983878656,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-20 01:50:00,2937565923.5555553,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-21 02:50:00,2852687872,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-21 02:50:00,2998169600,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-21 02:50:00,2952451072,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-22 03:50:00,2875199488,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-22 03:50:00,3051859968,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-22 03:50:00,2969871587.5555553,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-23 04:50:00,2915192832,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-23 04:50:00,3036471296,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-23 04:50:00,2952054641.7777777,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-24 05:50:00,2912452608,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-24 05:50:00,3003916288,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-24 05:50:00,2962767160.888889,,
"RNEC-DB-00-PRU","Minimum Memory Used (B)",2021-12-25 00:35:00,2905612288,,"RNEC-DB-00-PRU","Peak Memory Used (B)",2021-12-25 00:35:00,2996580352,,"RNEC-DB-00-PRU","Average Memory Used (B)",2021-12-25 00:35:00,2952331264,,
