"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_17037-Orion.CPULoad.MinLoad,0_Orion.Nodes_17037-Orion.CPULoad.MaxLoad,0_Orion.Nodes_17037-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:51:00.000Z&endTime=2022-02-15T20:51:00.000Z"")"
Start,2021-12-15 03:51:00,End,2022-02-15 15:51:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 10:50:08,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 10:50:08,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 10:50:08,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 10:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 10:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 10:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:13:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:13:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:13:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:23:13,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:23:13,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:23:13,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:33:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:33:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:33:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:43:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:43:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:43:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 11:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 11:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 11:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:13:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:13:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:13:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:23:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:23:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:23:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:33:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:33:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:33:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:43:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:43:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:43:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 12:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 12:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 12:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:13:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:13:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:13:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:23:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:23:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:23:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:33:13,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:33:13,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:33:13,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:43:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:43:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:43:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 13:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 13:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 13:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:03:13,17,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:03:13,17,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:03:13,17,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:13:13,12,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:13:13,12,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:13:13,12,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:23:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:23:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:23:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:33:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:33:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:33:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:43:13,4,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:43:13,4,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:43:13,4,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 14:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 14:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 14:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:13:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:13:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:13:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:23:13,12,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:23:13,12,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:23:13,12,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:33:13,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:33:13,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:33:13,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:43:13,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:43:13,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:43:13,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 15:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 15:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 15:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:13:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:13:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:13:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:23:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:23:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:23:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:33:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:33:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:33:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:43:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:43:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:43:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 16:53:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 16:53:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 16:53:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:03:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:03:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:03:13,3,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:13:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:13:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:13:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:23:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:23:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:23:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:33:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:33:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:33:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:43:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:43:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:43:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 17:53:13,5,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 17:53:13,5,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 17:53:13,5,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 18:03:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 18:03:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 18:03:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 18:13:13,2,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 18:13:13,2,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 18:13:13,2,,
"rnec-dc-01.registraduria.gov.co","Minimum CPU Load (%)",2022-02-14 18:23:13,3,,"rnec-dc-01.registraduria.gov.co","Peak CPU Load (%)",2022-02-14 18:23:13,3,,"rnec-dc-01.registraduria.gov.co","Average CPU Load (%)",2022-02-14 18:23:13,3,,
