"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12812-Orion.CPULoad.MinMemoryUsed,0_Orion.Nodes_12812-Orion.CPULoad.MaxMemoryUsed,0_Orion.Nodes_12812-Orion.CPULoad.AvgMemoryUsed;&startTime=2021-12-15T21:19:00.000Z&endTime=2022-02-15T21:19:00.000Z"")"
Start,2021-12-15 16:19:00,End,2022-02-15 16:19:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-16 00:00:00,10595536896,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-16 00:00:00,18693226496,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-16 00:00:00,11734384221.430656,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-17 00:00:00,10862612480,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-17 00:00:00,16550875136,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-17 00:00:00,11672120206.222221,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-18 00:00:00,10703323136,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-18 00:00:00,18320867328,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-18 00:00:00,11808284956.444445,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-19 00:00:00,11989069824,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-19 00:00:00,19845058560,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-19 00:00:00,12490950030.222221,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-20 00:00:00,10844602368,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-20 00:00:00,19812139008,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-20 00:00:00,12061993187.555555,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-21 00:00:00,11008180224,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-21 00:00:00,19228307456,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-21 00:00:00,11860860899.555555,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-22 00:00:00,10972946432,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-22 00:00:00,18859147264,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-22 00:00:00,11638990250.666666,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-23 00:00:00,10872373248,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-23 00:00:00,18651648000,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-23 00:00:00,11720515011.132868,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-24 00:00:00,10452402176,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-24 00:00:00,19436118016,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-24 00:00:00,11655806691.555555,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-25 00:00:00,10721456128,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-25 00:00:00,18535321600,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-25 00:00:00,11505477717.333334,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-26 00:00:00,10880983040,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-26 00:00:00,18181955584,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-26 00:00:00,11362852778.06993,,
"RNEC-MGT-01","Minimum Memory Used (B)",2021-12-27 00:00:00,10551869440,,"RNEC-MGT-01","Peak Memory Used (B)",2021-12-27 00:00:00,18638737408,,"RNEC-MGT-01","Average Memory Used (B)",2021-12-27 00:00:00,11503992459.636364,,
