"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12791-Orion.CPULoad.MinLoad,0_Orion.Nodes_12791-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12791-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T09:37:00.000Z&endTime=2022-02-15T21:37:00.000Z"")"
Start,2021-12-15 04:37:00,End,2022-02-15 16:37:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-22 05:07:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-22 05:07:00,19,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-22 05:07:00,8.6,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-22 11:22:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-22 11:22:00,19,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-22 11:22:00,7.333333333333333,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-22 17:37:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-22 17:37:00,19,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-22 17:37:00,8.166666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-22 23:52:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-22 23:52:00,24,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-22 23:52:00,10.166666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-23 06:07:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-23 06:07:00,17,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-23 06:07:00,8,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-23 12:22:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-23 12:22:00,20,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-23 12:22:00,7,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-23 18:37:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-23 18:37:00,20,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-23 18:37:00,7.833333333333333,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-24 00:52:00,0,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-24 00:52:00,25,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-24 00:52:00,10.5,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-24 07:07:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-24 07:07:00,16,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-24 07:07:00,6.428571428571429,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-24 13:22:00,5,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-24 13:22:00,26,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-24 13:22:00,12.166666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-24 19:37:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-24 19:37:00,62,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-24 19:37:00,12.5,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-25 01:52:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-25 01:52:00,29,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-25 01:52:00,10.181818181818182,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-25 08:07:00,0,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-25 08:07:00,32,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-25 08:07:00,8.25,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-25 14:22:00,6,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-25 14:22:00,33,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-25 14:22:00,14.114285714285714,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-25 20:37:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-25 20:37:00,51,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-25 20:37:00,12.666666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-26 02:52:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-26 02:52:00,18,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-26 02:52:00,10.235294117647058,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-26 09:07:00,3,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-26 09:07:00,23,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-26 09:07:00,10.179487179487179,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-26 15:22:00,6,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-26 15:22:00,24,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-26 15:22:00,12.514285714285714,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-26 21:37:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-26 21:37:00,16,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-26 21:37:00,9.166666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-27 03:52:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-27 03:52:00,25,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-27 03:52:00,9.666666666666666,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-27 10:07:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-27 10:07:00,28,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-27 10:07:00,11.857142857142858,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-27 16:22:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-27 16:22:00,35,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-27 16:22:00,15.5,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-27 22:37:00,6,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-27 22:37:00,25,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-27 22:37:00,12.5,,
"RNEC-MSG-00","Minimum CPU Load (%)",2022-01-28 04:52:00,4,,"RNEC-MSG-00","Peak CPU Load (%)",2022-01-28 04:52:00,26,,"RNEC-MSG-00","Average CPU Load (%)",2022-01-28 04:52:00,11.5,,
