"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12945-Orion.CPULoad.MinLoad,0_Orion.Nodes_12945-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12945-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T10:09:00.000Z&endTime=2022-02-15T22:09:00.000Z"")"
Start,2021-12-15 05:09:00,End,2022-02-15 17:09:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-16 06:09:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-16 06:09:00,22,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-16 06:09:00,1,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-17 00:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-17 00:54:00,26,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-17 00:54:00,1,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-18 01:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-18 01:54:00,27,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-18 01:54:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-19 02:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-19 02:54:00,32,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-19 02:54:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-20 03:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-20 03:54:00,23,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-20 03:54:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-21 04:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-21 04:54:00,32,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-21 04:54:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-22 05:54:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-22 05:54:00,24,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-22 05:54:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-23 00:39:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-23 00:39:00,26,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-23 00:39:00,1,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-24 01:39:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-24 01:39:00,42,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-24 01:39:00,2,,
"RNEC-VLNR-02","Minimum CPU Load (%)",2021-12-25 02:39:00,0,,"RNEC-VLNR-02","Peak CPU Load (%)",2021-12-25 02:39:00,26,,"RNEC-VLNR-02","Average CPU Load (%)",2021-12-25 02:39:00,2,,
