"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_12811-Orion.CPULoad.MinLoad,0_Orion.Nodes_12811-Orion.CPULoad.MaxLoad,0_Orion.Nodes_12811-Orion.CPULoad.AvgLoad;&startTime=2021-12-15T08:30:00.000Z&endTime=2022-02-15T20:30:00.000Z"")"
Start,2021-12-15 03:30:00,End,2022-02-15 15:30:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-16 00:00:00,1,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-16 00:00:00,5,,"RNEC-VM-07","Average CPU Load (%)",2021-12-16 00:00:00,3,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-17 00:00:00,49,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-17 00:00:00,49,,"RNEC-VM-07","Average CPU Load (%)",2021-12-17 00:00:00,49,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-18 00:00:00,25,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-18 00:00:00,25,,"RNEC-VM-07","Average CPU Load (%)",2021-12-18 00:00:00,25,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-20 00:00:00,8,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-20 00:00:00,21,,"RNEC-VM-07","Average CPU Load (%)",2021-12-20 00:00:00,13,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-21 00:00:00,5,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-21 00:00:00,11,,"RNEC-VM-07","Average CPU Load (%)",2021-12-21 00:00:00,8,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-22 00:00:00,1,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-22 00:00:00,36,,"RNEC-VM-07","Average CPU Load (%)",2021-12-22 00:00:00,16,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-23 00:00:00,12,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-23 00:00:00,15,,"RNEC-VM-07","Average CPU Load (%)",2021-12-23 00:00:00,13,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-24 00:00:00,6,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-24 00:00:00,16,,"RNEC-VM-07","Average CPU Load (%)",2021-12-24 00:00:00,11,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-25 00:00:00,7,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-25 00:00:00,7,,"RNEC-VM-07","Average CPU Load (%)",2021-12-25 00:00:00,7,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-26 00:00:00,9,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-26 00:00:00,12,,"RNEC-VM-07","Average CPU Load (%)",2021-12-26 00:00:00,10,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-28 00:00:00,5,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-28 00:00:00,15,,"RNEC-VM-07","Average CPU Load (%)",2021-12-28 00:00:00,9,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-29 00:00:00,4,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-29 00:00:00,4,,"RNEC-VM-07","Average CPU Load (%)",2021-12-29 00:00:00,4,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-30 00:00:00,13,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-30 00:00:00,13,,"RNEC-VM-07","Average CPU Load (%)",2021-12-30 00:00:00,13,,
"RNEC-VM-07","Minimum CPU Load (%)",2021-12-31 00:00:00,15,,"RNEC-VM-07","Peak CPU Load (%)",2021-12-31 00:00:00,15,,"RNEC-VM-07","Average CPU Load (%)",2021-12-31 00:00:00,15,,
