"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_17149-Orion.CPULoad.MinMemoryUsed,0_Orion.Nodes_17149-Orion.CPULoad.MaxMemoryUsed,0_Orion.Nodes_17149-Orion.CPULoad.AvgMemoryUsed;&startTime=2021-12-15T08:15:00.000Z&endTime=2022-02-15T20:15:00.000Z"")"
Start,2021-12-15 03:15:00,End,2022-02-15 15:15:00

"Custom Chart"
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-16 04:15:00,224073187328,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-16 04:15:00,224305647616,,"RNEC-VM-09","Average Memory Used (B)",2021-12-16 04:15:00,224206732928.92087,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-17 05:15:00,221485244416,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-17 05:15:00,224294494208,,"RNEC-VM-09","Average Memory Used (B)",2021-12-17 05:15:00,222504453973.33334,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-18 00:00:00,221536411648,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-18 00:00:00,222175481856,,"RNEC-VM-09","Average Memory Used (B)",2021-12-18 00:00:00,221652579441.77777,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-19 01:00:00,221903110144,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-19 01:00:00,222132408320,,"RNEC-VM-09","Average Memory Used (B)",2021-12-19 01:00:00,221954514716.44446,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-20 02:00:00,221863923712,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-20 02:00:00,222000381952,,"RNEC-VM-09","Average Memory Used (B)",2021-12-20 02:00:00,221925804117.33334,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-21 03:00:00,221882245120,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-21 03:00:00,222036254720,,"RNEC-VM-09","Average Memory Used (B)",2021-12-21 03:00:00,221955717745.77777,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-22 04:00:00,221935349760,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-22 04:00:00,222059712512,,"RNEC-VM-09","Average Memory Used (B)",2021-12-22 04:00:00,221979491384.8889,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-23 05:00:00,221998837760,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-23 05:00:00,222124097536,,"RNEC-VM-09","Average Memory Used (B)",2021-12-23 05:00:00,222050263040,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-24 06:00:00,222008012800,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-24 06:00:00,222213169152,,"RNEC-VM-09","Average Memory Used (B)",2021-12-24 06:00:00,222071317959.1111,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-25 00:45:00,222020894720,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-25 00:45:00,222271250432,,"RNEC-VM-09","Average Memory Used (B)",2021-12-25 00:45:00,222109249280,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-26 01:45:00,222024974336,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-26 01:45:00,222236164096,,"RNEC-VM-09","Average Memory Used (B)",2021-12-26 01:45:00,222071369073.77777,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-27 02:45:00,222034046976,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-27 02:45:00,222252122112,,"RNEC-VM-09","Average Memory Used (B)",2021-12-27 02:45:00,222110632476.44446,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-28 03:45:00,222208405504,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-28 03:45:00,222342705152,,"RNEC-VM-09","Average Memory Used (B)",2021-12-28 03:45:00,222280336298.66666,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-29 04:45:00,222267150336,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-29 04:45:00,222510641152,,"RNEC-VM-09","Average Memory Used (B)",2021-12-29 04:45:00,222311481884.44446,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-30 05:45:00,222286454784,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-30 05:45:00,222459437056,,"RNEC-VM-09","Average Memory Used (B)",2021-12-30 05:45:00,222379788572.44446,,
"RNEC-VM-09","Minimum Memory Used (B)",2021-12-31 00:30:00,222337982464,,"RNEC-VM-09","Peak Memory Used (B)",2021-12-31 00:30:00,222635470848,,"RNEC-VM-09","Average Memory Used (B)",2021-12-31 00:30:00,222385721031.1111,,
"RNEC-VM-09","Minimum Memory Used (B)",2022-01-01 01:30:00,222404603904,,"RNEC-VM-09","Peak Memory Used (B)",2022-01-01 01:30:00,222687870976,,"RNEC-VM-09","Average Memory Used (B)",2022-01-01 01:30:00,222466679296,,
"RNEC-VM-09","Minimum Memory Used (B)",2022-01-02 02:30:00,222283194368,,"RNEC-VM-09","Peak Memory Used (B)",2022-01-02 02:30:00,222515453952,,"RNEC-VM-09","Average Memory Used (B)",2022-01-02 02:30:00,222398319786.66666,,
"RNEC-VM-09","Minimum Memory Used (B)",2022-01-03 03:30:00,222286331904,,"RNEC-VM-09","Peak Memory Used (B)",2022-01-03 03:30:00,222897795072,,"RNEC-VM-09","Average Memory Used (B)",2022-01-03 03:30:00,222517565667.55554,,
